episode_id,player_0_score,player_0_wall_count,player_1_score,player_1_wall_count,player_2_score,player_2_wall_count,player_3_score,player_3_wall_count,total_score,total_wall_count
1,18.459999999999997,14.0,18.189999999999998,10.6,15.38,20.2,1.0299999999999998,21.0,53.059999999999995,65.8
2,26.15999999999999,2.6,14.239999999999998,6.4,21.749999999999996,1.4,14.569999999999999,17.8,76.71999999999998,28.200000000000003
3,42.42999999999999,0.2,27.399999999999995,0.2,30.409999999999986,4.2,18.87,19.2,119.10999999999997,23.8
4,24.77,1.6,28.289999999999985,2.4,25.96999999999999,7.2,32.959999999999994,11.2,111.98999999999997,22.4
5,38.61999999999999,2.2,30.919999999999987,1.6,29.229999999999983,1.0,23.12,11.2,121.88999999999996,16.0
6,42.66,4.2,31.159999999999997,3.2,29.669999999999987,0.2,24.31,18.8,127.79999999999998,26.400000000000002
7,34.65,0.2,44.64,8.4,26.32,7.0,37.35,6.8,142.95999999999998,22.4
8,45.6,4.6,65.61,6.4,24.61,2.4,22.699999999999996,8.2,158.51999999999998,21.6
9,70.69,2.2,41.56,2.6,23.479999999999997,4.8,39.959999999999994,17.6,175.69,27.200000000000003
10,26.46,2.8,63.120000000000005,9.4,33.36,7.0,27.119999999999994,11.4,150.06,30.6
11,38.289999999999985,1.0,71.08000000000001,5.4,44.43999999999999,4.8,18.07,13.6,171.88,24.799999999999997
12,44.23,3.2,39.86,2.0,28.019999999999992,5.6,35.14,23.4,147.25,34.2
13,52.31999999999999,11.0,38.599999999999994,4.4,39.779999999999994,10.2,57.17,17.2,187.87,42.8
14,43.72,20.2,40.339999999999996,5.0,35.13,9.6,53.44,5.0,172.63,39.8
15,45.169999999999995,1.4,30.01,1.6,37.37,9.0,36.94,16.0,149.48999999999998,28.0
16,33.339999999999996,1.2,26.71,6.2,50.87,10.0,39.580000000000005,12.6,150.5,30.0
17,27.24,7.4,38.269999999999996,3.0,27.05,7.8,52.83,4.2,145.39,22.4
18,30.21999999999999,1.4,88.01,9.4,46.37,15.0,26.119999999999997,9.6,190.72,35.4
19,46.75,0.2,62.45,4.6,40.7,8.4,28.85,20.2,178.75,33.4
20,61.669999999999995,12.4,38.919999999999995,7.6,29.95,11.8,50.989999999999995,23.6,181.52999999999997,55.400000000000006
21,67.74,2.0,71.62,6.2,49.010000000000005,5.6,73.97999999999999,5.8,262.35,19.599999999999998
22,59.07000000000001,25.4,72.2,7.0,24.69,2.4,42.58,4.6,198.54000000000002,39.4
23,42.33,11.0,54.1,1.4,35.07,17.6,58.42999999999999,7.0,189.93,37.0
24,56.379999999999995,10.8,58.0,9.6,38.87,2.0,38.36,27.0,191.61,49.4
25,55.39000000000001,5.0,64.6,4.4,65.91,3.8,33.05999999999999,5.6,218.95999999999998,18.799999999999997
26,40.58,0.6,81.96000000000001,3.6,48.62,12.6,30.9,16.0,202.06,32.8
27,34.21999999999999,1.4,37.89999999999999,3.8,55.96,13.6,47.989999999999995,21.8,176.07,40.599999999999994
28,50.59000000000001,8.6,58.30999999999999,10.8,61.279999999999994,5.2,35.73,22.4,205.91,47.0
29,63.419999999999995,4.8,49.13000000000001,7.4,37.14,9.4,66.86,20.0,216.55,41.6
30,42.05999999999999,11.6,60.31,3.0,46.839999999999996,0.2,65.1,7.6,214.30999999999997,22.4
31,60.06999999999999,7.4,49.04,5.6,41.75000000000001,6.2,25.08,39.4,175.94,58.599999999999994
32,63.44,22.8,48.0,13.6,48.36999999999999,10.8,2.94,26.0,162.75,73.2
33,68.53,4.4,61.49000000000001,10.6,21.310000000000002,13.2,11.469999999999997,32.8,162.8,61.0
34,49.940000000000005,15.8,41.510000000000005,18.6,48.46,8.6,41.86,4.2,181.77000000000004,47.20000000000001
35,62.25,3.2,68.19,13.2,39.6,10.4,31.4,27.0,201.44,53.8
36,81.47999999999999,10.4,68.73,5.8,40.55,18.6,49.239999999999995,7.2,240.0,42.0
37,69.19,15.2,42.529999999999994,4.6,46.089999999999996,13.4,29.27,13.2,187.08,46.39999999999999
38,40.419999999999995,0.8,78.66,4.2,44.08,25.6,55.220000000000006,17.2,218.37999999999997,47.8
39,53.87999999999998,11.8,51.50999999999999,20.4,57.67999999999999,6.2,14.839999999999998,40.2,177.90999999999997,78.60000000000001
40,64.87,1.8,25.80999999999999,8.0,27.7,10.2,50.19,21.2,168.57,41.2
41,55.67,0.2,68.24000000000001,5.0,14.339999999999998,52.8,47.09,21.4,185.34,79.4
42,30.179999999999996,29.4,42.89,6.0,83.27000000000001,7.0,37.79,28.2,194.13,70.6
43,87.46000000000001,0.6,55.64,2.4,43.36999999999999,0.8,44.04,35.4,230.51000000000002,39.199999999999996
44,37.589999999999996,0.6,83.24,3.0,32.03,31.6,38.589999999999996,16.4,191.45,51.6
45,56.279999999999994,7.0,67.4,8.6,56.1,7.4,32.81,20.0,212.59,43.0
46,49.85,14.0,45.14999999999999,7.4,54.05999999999999,25.6,29.979999999999997,11.8,179.04,58.8
47,67.8,2.0,72.36,6.8,92.08,1.4,20.439999999999998,48.8,252.68,59.0
48,60.4,10.6,39.44,2.6,41.07,11.4,21.490000000000002,26.8,162.4,51.400000000000006
49,49.49,22.6,53.35,16.8,32.339999999999996,14.8,52.81,20.0,187.99,74.2
50,84.16999999999999,3.2,60.510000000000005,4.6,23.019999999999992,21.6,53.220000000000006,3.2,220.92,32.6
51,85.25000000000001,11.2,39.05,9.6,63.69,2.4,37.60999999999999,14.4,225.6,37.599999999999994
52,93.4,0.8,43.01,11.6,57.31999999999999,5.0,41.589999999999996,16.6,235.32,34.0
53,82.39,6.8,47.7,2.4,48.949999999999996,3.8,47.11,9.6,226.14999999999998,22.6
54,92.65,6.2,42.14,5.4,47.09,5.4,34.42,7.0,216.3,24.0
55,90.65,6.2,32.959999999999994,5.8,66.05000000000001,5.4,59.7,14.2,249.36,31.599999999999998
56,52.46999999999999,4.6,70.25999999999999,7.0,56.260000000000005,3.2,76.81,22.0,255.8,36.8
57,65.13,13.4,69.27000000000001,6.8,91.17999999999999,11.0,32.79,48.2,258.37,79.4
58,82.6,8.2,46.959999999999994,13.6,47.05999999999999,17.4,9.5,58.8,186.12,98.0
59,81.7,4.2,57.73,6.2,71.71,24.0,34.19,5.4,245.32999999999998,39.8
60,50.03999999999999,21.6,56.39,8.8,62.17,9.4,51.15,41.4,219.75,81.2
61,54.21,11.0,35.769999999999996,8.0,73.86,3.8,23.299999999999997,51.0,187.14,73.8
62,56.55999999999999,6.2,80.47,2.8,45.31,25.2,39.059999999999995,31.6,221.39999999999998,65.80000000000001
63,70.2,17.2,86.65,14.2,46.82000000000001,16.0,-14.319999999999999,102.4,189.35000000000002,149.8
64,56.25,11.2,66.3,3.0,41.839999999999996,16.2,63.459999999999994,8.6,227.84999999999997,39.0
65,59.30000000000001,8.8,53.71,10.2,41.53999999999999,10.6,59.56999999999999,0.6,214.12,30.200000000000003
66,55.4,6.8,95.89999999999999,3.8,34.4,13.0,57.32000000000001,13.0,243.01999999999998,36.6
67,56.129999999999995,15.2,55.69,2.2,73.42,6.8,65.84,9.8,251.08,34.0
68,54.85,6.0,58.96,1.6,50.739999999999995,4.0,69.92999999999999,3.8,234.48000000000002,15.399999999999999
69,50.5,4.6,59.730000000000004,6.0,45.69,0.2,57.05,15.4,212.97000000000003,26.2
70,42.2,3.2,70.66,10.2,59.129999999999995,13.6,25.240000000000002,19.2,197.23000000000002,46.2
71,48.489999999999995,4.6,64.55000000000001,8.6,61.11999999999999,5.4,40.08,9.6,214.24,28.200000000000003
72,92.32000000000002,2.6,52.75,6.0,56.230000000000004,19.2,44.019999999999996,5.6,245.32,33.4
73,98.22,5.0,66.81,19.8,48.55999999999999,2.4,59.089999999999996,17.4,272.67999999999995,44.599999999999994
74,52.8,15.8,58.6,0.4,80.46,0.8,23.6,16.6,215.46,33.6
