episode_id,player_0_original_score,player_0_excluded_score,player_0_wall_count,player_1_original_score,player_1_excluded_score,player_1_wall_count,player_2_original_score,player_2_excluded_score,player_2_wall_count,player_3_original_score,player_3_excluded_score,player_3_wall_count,total_original_score,total_excluded_score,total_wall_count
1,12.550000000000002,12.550000000000002,19.6,12.66,12.66,23.4,9.130000000000003,9.130000000000003,20.4,6.359999999999999,6.359999999999999,21.8,40.7,40.7,85.2
2,30.04999999999999,30.04999999999999,5.0,22.03,22.03,7.0,27.659999999999986,27.659999999999986,3.6,19.32,19.32,16.0,99.05999999999997,99.05999999999997,31.6
3,54.52,54.52,0.2,25.160000000000004,25.160000000000004,9.0,26.01999999999999,26.01999999999999,6.8,19.21,19.21,18.6,124.91,124.91,34.6
4,31.52999999999999,31.52999999999999,0.6,27.19999999999999,27.19999999999999,5.2,21.45,21.45,16.4,40.529999999999994,40.529999999999994,10.2,120.70999999999998,120.70999999999998,32.4
5,20.689999999999998,20.689999999999998,14.4,25.99,25.99,7.8,24.130000000000003,24.130000000000003,5.4,33.45,33.45,8.8,104.26,104.26,36.400000000000006
6,35.83,35.83,7.8,52.63000000000001,52.63000000000001,8.4,41.73,41.73,2.0,21.91,21.91,15.6,152.1,152.1,33.8
7,59.46,59.46,8.4,43.81,43.81,20.0,30.979999999999983,30.979999999999983,5.6,48.690000000000005,48.690000000000005,24.0,182.94,182.94,58.0
8,55.760000000000005,55.760000000000005,8.0,46.160000000000004,46.160000000000004,17.4,31.160000000000004,31.160000000000004,3.4,20.4,20.4,22.8,153.48000000000002,153.48000000000002,51.599999999999994
9,36.16,36.16,3.4,44.87,44.87,9.8,49.17999999999999,49.17999999999999,3.2,61.65,61.65,16.2,191.85999999999999,191.85999999999999,32.6
10,28.24,28.24,11.0,46.47,46.47,16.2,30.799999999999994,30.799999999999994,6.0,56.92999999999999,56.92999999999999,27.2,162.44,162.44,60.400000000000006
11,45.82000000000001,45.82000000000001,15.6,61.04,61.04,5.0,26.65,26.65,8.2,22.310000000000002,22.310000000000002,28.6,155.82000000000002,155.82000000000002,57.400000000000006
12,71.66,71.66,12.0,54.249999999999986,54.249999999999986,13.2,25.520000000000003,25.520000000000003,6.8,40.830000000000005,40.830000000000005,23.6,192.26,192.26,55.6
