type,type_name,mean_total_score,mean_total_wall_count,max_episodes,player_0_mean_score,player_0_mean_wall_count,player_1_mean_score,player_1_mean_wall_count,player_2_mean_score,player_2_mean_wall_count,player_3_mean_score,player_3_mean_wall_count
no_shaping,Sparse Penalty (0.5),209.471,114.82374999999999,160,58.79575,21.60125,60.771187499999996,23.4375,52.296875,22.947499999999998,37.6071875,46.8375
linear,Linear Potential,203.40051643192487,52.604694835680746,213,59.89370892018779,9.451643192488262,54.70985915492958,7.122065727699531,50.95070422535211,9.509859154929577,37.84624413145539,26.52112676056338
inverse,Inverse Prop Potential,199.27582159624413,54.74272300469483,213,60.80347417840376,8.212206572769952,55.28779342723004,6.535211267605634,53.03558685446009,10.330516431924881,30.148967136150233,29.664788732394364
distance,Distance Penalty,185.22928035409652,44.74647887323944,213,57.00476250150424,9.39718309859155,47.57797060068003,5.556807511737089,49.03849685481151,7.270422535211267,31.60805039710075,22.522065727699534
