episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
125,34.0,13.0,32.0,31.0,110.0
126,36.0,23.0,37.0,34.0,130.0
127,54.0,13.0,42.0,40.0,149.0
128,52.0,33.0,34.0,43.0,162.0
129,42.0,34.0,42.0,38.0,156.0
130,51.0,44.0,48.0,40.0,183.0
131,60.0,23.0,42.0,35.0,160.0
132,45.0,49.0,28.0,43.0,165.0
133,42.0,39.0,39.0,59.0,179.0
134,52.0,51.0,42.0,43.0,188.0
135,46.0,41.0,42.0,38.0,167.0
136,48.0,27.0,44.0,42.0,161.0
137,39.0,48.0,26.0,42.0,155.0
138,63.0,37.0,48.0,27.0,175.0
139,45.0,53.0,35.0,25.0,158.0
140,36.0,41.0,35.0,55.0,167.0
141,33.0,54.0,52.0,36.0,175.0
142,45.0,40.0,36.0,54.0,175.0
143,42.0,56.0,48.0,56.0,202.0
144,39.0,53.0,49.0,38.0,179.0
145,28.0,33.0,44.0,52.0,157.0
146,33.0,57.0,51.0,35.0,176.0
147,54.0,34.0,30.0,32.0,150.0
148,42.0,72.0,30.0,38.0,182.0
149,32.0,53.0,30.0,43.0,158.0
150,39.0,58.0,30.0,31.0,158.0
151,36.0,58.0,28.0,42.0,164.0
152,36.0,56.0,26.0,43.0,161.0
153,57.0,36.0,30.0,40.0,163.0
154,39.0,58.0,30.0,32.0,159.0
155,42.0,62.0,30.0,40.0,174.0
156,60.0,47.0,30.0,46.0,183.0
157,42.0,31.0,43.0,36.0,152.0
158,39.0,49.0,30.0,39.0,157.0
159,39.0,42.0,42.0,43.0,166.0
160,24.0,20.0,27.0,25.0,96.0
