episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
125,34.0,15.0,45.0,42.0,136.0
126,21.0,19.0,39.0,30.0,109.0
127,17.0,18.0,31.0,33.0,99.0
128,24.0,20.0,42.0,29.0,115.0
129,30.0,25.0,24.0,21.0,100.0
130,47.0,18.0,52.0,48.0,165.0
131,34.0,28.0,40.0,40.0,142.0
132,33.0,27.0,20.0,39.0,119.0
133,27.0,19.0,28.0,48.0,122.0
134,8.0,39.0,42.0,36.0,125.0
135,25.0,27.0,25.0,26.0,103.0
136,28.0,22.0,33.0,34.0,117.0
137,16.0,27.0,32.0,45.0,120.0
138,31.0,20.0,31.0,34.0,116.0
139,36.0,28.0,37.0,24.0,125.0
140,35.0,27.0,29.0,26.0,117.0
141,25.0,37.0,17.0,50.0,129.0
142,33.0,23.0,30.0,39.0,125.0
143,49.0,20.0,36.0,38.0,143.0
144,40.0,46.0,29.0,17.0,132.0
145,36.0,10.0,40.0,26.0,112.0
146,36.0,23.0,35.0,38.0,132.0
147,41.0,39.0,37.0,31.0,148.0
148,48.0,29.0,30.0,31.0,138.0
149,31.0,43.0,15.0,28.0,117.0
150,20.0,34.0,41.0,49.0,144.0
151,25.0,23.0,45.0,27.0,120.0
152,23.0,30.0,28.0,30.0,111.0
153,23.0,33.0,33.0,43.0,132.0
154,45.0,15.0,27.0,32.0,119.0
155,32.0,12.0,26.0,44.0,114.0
156,39.0,28.0,46.0,37.0,150.0
157,43.0,36.0,42.0,38.0,159.0
158,52.0,27.0,17.0,41.0,137.0
159,39.0,37.0,49.0,27.0,152.0
160,14.0,12.0,21.0,20.0,67.0
