episode_id,player_0_original_score,player_0_excluded_score,player_0_wall_count,player_1_original_score,player_1_excluded_score,player_1_wall_count,player_2_original_score,player_2_excluded_score,player_2_wall_count,player_3_original_score,player_3_excluded_score,player_3_wall_count,total_original_score,total_excluded_score,total_wall_count
1,-3.213395106177322,2.650000000000001,17.6,12.226335023317983,17.04,10.8,1.0082537836808307,5.970000000000001,11.0,12.422273936503107,17.64,7.6,22.4434676373246,43.300000000000004,47.00000000000001
2,23.430957825932712,27.639999999999986,5.8,16.335406609244476,20.32,6.4,15.191479136606603,19.8,11.4,16.313249252494494,21.6,12.0,71.27109282427828,89.35999999999999,35.6
3,22.384181188031754,25.99,3.2,21.478996885826177,25.669999999999995,8.0,22.9385304232314,27.439999999999998,4.6,14.229052525803883,20.439999999999998,18.4,81.0307610228932,99.53999999999999,34.199999999999996
4,38.890310655594,42.14999999999999,3.0,30.252318560717594,33.489999999999995,0.6,23.252266548875323,27.54999999999999,4.4,23.4004284578825,27.849999999999994,9.6,115.79532422306941,131.03999999999996,17.6
5,35.5038605062791,38.69999999999998,1.8,25.98934433365423,29.129999999999995,1.2,24.052670984396606,28.189999999999987,3.2,7.034808191855992,13.079999999999998,17.2,92.58068401618593,109.09999999999997,23.4
6,39.7122392953718,42.65999999999999,0.0,24.527868901036577,28.119999999999994,3.4,27.429443634638336,30.889999999999993,1.8,28.387896617606906,33.13000000000001,7.2,120.05744844865362,134.8,12.4
7,19.70716629755574,22.800000000000004,5.8,39.69709044509196,42.85,0.0,32.6014543067707,36.25,1.2,12.095016226338283,17.59,24.4,104.1007272757567,119.49000000000001,31.4
8,27.965910212384017,30.62999999999999,0.2,25.50110202228459,28.639999999999997,2.4,30.096203040549494,32.71999999999999,0.2,15.7809427472347,19.759999999999998,8.0,99.3441580224528,111.74999999999997,10.8
9,39.86958333668112,43.86,9.6,23.481521119883222,26.419999999999995,0.8,35.87082536995901,38.19999999999999,1.2,26.395145326343187,30.189999999999998,7.2,125.61707515286653,138.67,18.8
10,64.66293436870046,68.26,4.8,23.344048352628306,26.579999999999995,10.6,25.341911028211197,27.920000000000005,0.0,15.282414517973,20.0,11.6,128.63130826751296,142.76,27.0
11,56.58606339473238,59.34000000000001,0.8,45.523202808310046,48.33,2.8,27.81388261640464,29.879999999999995,0.0,11.107921034042784,16.06,17.6,141.03106985348987,153.61,21.200000000000003
12,84.55112926315442,87.85999999999999,9.6,61.1400494482293,63.54,0.6,27.59890994636312,29.919999999999995,0.0,14.849103787524706,19.56,16.4,188.13919244527153,200.87999999999997,26.599999999999998
13,53.1762404886821,56.1,3.4,26.59379478102096,28.939999999999998,0.0,42.6017794855587,45.21,1.2,21.362301237418812,25.59999999999999,8.4,143.7341159926806,155.85,13.0
14,40.98018107426835,43.760000000000005,4.0,37.930850734530246,40.43999999999999,0.6,45.00533417468076,47.63,2.4,18.682799240923806,22.4,10.8,142.59916522440315,154.23,17.8
15,109.40455971867206,112.38999999999999,6.6,29.47457242601904,31.819999999999993,0.0,53.38840710984416,55.94,3.8,22.69140010192365,26.169999999999998,13.4,214.95893935645893,226.31999999999996,23.799999999999997
16,52.02450161546174,54.55,0.4,61.35414282005697,63.83,0.0,52.887225503484366,55.29,1.2,13.62972460471299,17.990000000000002,29.8,179.89559454371607,191.66,31.400000000000002
17,64.98299543162088,67.46000000000001,0.6,37.04948489272816,39.36999999999999,1.0,47.67034717697589,50.260000000000005,3.4,39.61658644524893,42.760000000000005,4.2,189.31941394657383,199.85000000000002,9.2
18,54.62098553646479,57.86,6.0,57.58944078472225,60.0,1.8,56.10806844046563,58.7,0.4,24.958159109016766,28.549999999999994,2.6,193.27665387066946,205.10999999999999,10.799999999999999
19,38.12412394482568,41.09999999999999,3.4,55.62810232303307,58.32000000000001,1.0,40.13201766141465,42.62,0.4,22.271420828657718,26.1,7.6,156.1556647579311,168.14,12.4
20,63.5233459170546,66.77000000000001,12.2,30.425661922781778,32.94,3.8,38.322515093193,40.589999999999996,0.6,33.5679736971002,37.73,20.2,165.8394966301296,178.03,36.8
21,46.52747979925915,48.8,2.0,37.53947320297645,39.699999999999996,0.4,67.60821856349261,70.13000000000001,5.4,40.192046732337054,43.4,11.0,191.86721829806527,202.03,18.8
22,45.60443142038061,48.99999999999999,13.6,63.56701077370301,66.35000000000001,7.0,73.01003021496828,75.35,3.0,21.11914446265278,25.99,27.8,203.30061687170468,216.69,51.400000000000006
23,26.678809559223488,30.179999999999996,19.4,26.288709047833397,29.110000000000003,3.6,42.30128891150743,45.32,19.2,56.397691164549386,59.36,7.0,151.6664986831137,163.97,49.2
24,33.32812807094701,36.4,5.0,45.63078646672048,48.980000000000004,3.8,26.254693110463393,29.419999999999998,9.0,18.331597189436447,22.860000000000003,22.0,123.54520483756733,137.66,39.8
25,81.30473372639251,84.5,12.8,38.50778182953975,41.07,1.6,43.94658074070607,46.55,0.8,33.00873961790162,36.260000000000005,13.4,196.76783591453997,208.38,28.6
26,43.62465584877302,46.3,5.0,55.568517290851574,57.89000000000001,1.8,36.53500551323809,38.959999999999994,5.8,29.80199157449182,33.87,30.0,165.5301702273545,177.01999999999998,42.6
27,85.42525773327239,87.66,0.2,27.176076759687327,29.49,2.6,47.5664212644063,49.77,2.2,48.47965938031037,51.92999999999999,19.8,208.6474151376764,218.84999999999997,24.8
28,57.13340262980123,59.30999999999999,1.0,36.3839280821786,38.74999999999999,0.2,59.500545539862046,61.77,4.2,11.978331281189014,15.98,31.8,164.99620753303088,175.80999999999997,37.2
29,55.98560434898004,59.55,8.6,65.7449892248706,68.38,0.8,25.917079495080042,28.74,2.2,39.16072736225787,42.83,14.0,186.80840043118855,199.5,25.6
30,69.42202011693253,72.2,5.0,39.959025705308605,42.33,1.0,76.5948334520271,79.11,1.4,33.73458156793191,37.17999999999999,23.4,219.71046084220015,230.82,30.799999999999997
31,103.08552552567338,105.75,2.2,76.58658101095541,79.16,1.4,51.11007607788138,54.58,12.6,17.35207579409362,20.85,14.0,248.1342584086038,260.34000000000003,30.2
32,64.2626510854287,67.16,9.4,41.10510304716742,43.92999999999999,1.8,85.18339781171746,87.67999999999999,2.4,-3.3534050858226863,2.429999999999999,53.0,187.1977468584909,201.2,66.6
33,50.94782216576099,53.51000000000001,2.6,34.01728020849259,36.46999999999999,0.8,69.36619945214944,71.6,0.6,18.86080593965376,22.9,26.0,173.19210776605678,184.48,30.0
34,70.62097293733864,72.97,3.8,34.66951889006664,36.93,4.0,45.26366575227736,47.56999999999999,2.6,34.494666834925454,38.019999999999996,9.8,185.04882441460808,195.49,20.200000000000003
35,41.65446608575154,44.25,5.2,47.08510920654321,49.83,2.0,64.03461053996855,66.3,1.2,10.022499197918236,14.339999999999998,39.2,162.79668503018155,174.72,47.6
36,47.41312915809367,49.53000000000001,0.8,41.57934841738281,44.17999999999999,1.4,48.28127584481151,50.49000000000001,2.8,37.60368978733267,40.58,14.6,174.87744320762067,184.78000000000003,19.6
37,58.925077095193885,61.330000000000005,1.2,29.519166431356638,31.929999999999996,0.0,65.96708722223394,68.30999999999999,1.0,26.342224419241557,29.85,18.2,180.753555168026,191.42,20.4
38,23.354877609043818,26.149999999999995,3.4,56.78620267283149,59.720000000000006,4.4,47.05658439071882,49.62,4.6,34.6401441558113,38.62,20.6,161.83780882840543,174.11,33.0
39,73.07856044931887,75.49000000000001,4.8,35.25542321685003,37.89999999999999,0.0,63.53087821081605,65.84,2.2,15.437444398722793,19.189999999999998,31.6,187.30230627570774,198.42000000000002,38.6
40,57.6966902965073,60.709999999999994,4.4,42.7579071059755,45.410000000000004,1.0,40.059878145882806,42.51,0.8,41.58806104943709,44.519999999999996,10.8,182.10253659780267,193.14999999999998,17.0
41,58.941707727487675,62.470000000000006,19.0,34.38031237535916,37.260000000000005,5.4,50.721787908395264,53.86,8.2,35.59137313377069,38.98,8.0,179.63518114501278,192.57000000000002,40.599999999999994
42,50.77252845812492,54.239999999999995,13.4,42.37614034004489,45.56,10.8,45.26319935682891,47.64999999999999,2.6,-17.45872837007006,-11.02,66.0,120.95313978492867,136.42999999999998,92.80000000000001
43,63.45756457955971,66.65,12.6,38.320966887305005,41.38,7.2,40.19610219007018,42.89,10.2,47.16072465821354,49.56,0.8,189.13535831514844,200.48000000000002,30.8
44,59.17724710712599,62.2,9.4,38.33995303437704,41.07,1.8,47.019303601994885,49.62,8.6,7.870569017408485,12.95,48.0,152.4070727609064,165.84,67.8
45,83.92107909037004,87.37,21.0,44.51885754792197,47.46,9.0,35.5188918544663,38.53,12.8,-7.796706739691151,-2.030000000000001,58.0,156.16212175306714,171.33,100.8
46,71.5132787720144,74.19,3.4,66.47709657598787,69.33,1.2,39.638741925813825,42.23,7.4,29.26830388994179,32.85,12.2,206.89742116375788,218.59999999999997,24.2
