type,type_name,num_episodes,mean_total_score,mean_total_walls,p0_mean_score,p0_mean_walls,p1_mean_score,p1_mean_walls,p2_mean_score,p2_mean_walls,p3_mean_score,p3_mean_walls
no_shaping,稀疏惩罚(0.5),160,209.471,114.82374999999999,58.79575,21.60125,60.771187499999996,23.4375,52.296875,22.947499999999998,37.6071875,46.8375
linear,线性势函数,213,203.4005164319249,52.604694835680746,59.8937089201878,9.451643192488262,54.70985915492958,7.122065727699531,50.95070422535211,9.509859154929577,37.8462441314554,26.52112676056338
inverse,反比势函数,213,199.27582159624413,54.74272300469483,60.80347417840376,8.212206572769952,55.28779342723004,6.535211267605634,53.03558685446009,10.330516431924881,30.148967136150237,29.664788732394364
distance,距离惩罚,213,185.22928035409652,44.74647887323944,57.00476250150423,9.39718309859155,47.57797060068003,5.556807511737089,49.03849685481151,7.270422535211267,31.60805039710075,22.522065727699534
