episode_id,player_0_score,player_0_wall_count,player_1_score,player_1_wall_count,player_2_score,player_2_wall_count,player_3_score,player_3_wall_count,total_score,total_wall_count
1,4.099999999999999,14.6,11.27,16.2,14.52,13.8,3.8599999999999994,23.0,33.75,67.6
2,34.22999999999999,6.6,27.129999999999995,2.8,16.499999999999996,6.0,10.25,22.6,88.10999999999999,38.0
3,33.60999999999999,2.0,27.80999999999999,3.4,26.98999999999999,5.2,23.109999999999996,12.8,111.51999999999998,23.400000000000002
4,38.93999999999999,3.2,29.37999999999999,0.4,29.399999999999995,0.4,24.93,9.4,122.64999999999998,13.4
5,28.059999999999985,3.0,28.75999999999999,1.8,29.639999999999986,0.0,18.98,17.2,105.43999999999997,22.0
6,36.3,0.6,29.349999999999987,0.6,25.73999999999998,0.0,27.12999999999999,5.2,118.51999999999995,6.4
7,60.1,0.8,28.949999999999996,1.4,29.539999999999985,0.2,33.42,10.4,152.01,12.8
8,38.889999999999986,3.2,34.96999999999999,1.2,29.68999999999999,0.0,24.669999999999998,9.8,128.21999999999997,14.200000000000001
9,32.11,2.8,38.73,3.8,29.619999999999987,0.2,30.239999999999988,10.6,130.7,17.4
10,60.93000000000001,7.2,44.540000000000006,0.4,27.770000000000003,0.0,9.04,17.4,142.28,25.0
11,65.03,5.2,29.35,0.8,27.76999999999999,0.0,19.020000000000003,9.4,141.17,15.4
12,20.68,20.0,42.859999999999985,1.8,29.77999999999999,0.0,30.340000000000003,22.8,123.65999999999998,44.6
13,25.319999999999997,14.6,31.75,1.8,32.059999999999995,11.4,10.029999999999998,25.4,99.16,53.199999999999996
14,29.069999999999993,1.4,41.61999999999999,0.4,29.45,1.0,54.46999999999999,8.8,154.60999999999999,11.600000000000001
15,29.47,0.6,34.94,2.0,29.639999999999997,0.6,42.910000000000004,15.8,136.96,19.0
16,55.19000000000001,1.2,37.51,0.6,29.30999999999999,1.2,34.89999999999999,13.8,156.91,16.8
17,45.38999999999999,0.8,40.68999999999999,2.2,29.919999999999995,0.0,56.35,19.0,172.34999999999997,22.0
18,53.86999999999999,1.8,32.709999999999994,0.2,36.089999999999996,5.6,63.05999999999999,13.4,185.72999999999996,21.0
19,39.379999999999995,2.8,33.14999999999999,3.4,30.75,4.4,47.410000000000004,13.0,150.69,23.6
20,48.83,6.0,44.56,6.6,39.43,11.0,8.0,57.8,140.82,81.4
21,56.59999999999999,8.6,44.36999999999999,5.0,35.76,0.4,44.93,14.0,181.65999999999997,28.0
22,47.44,0.8,31.009999999999998,5.8,62.620000000000005,2.6,47.92,22.0,188.99,31.2
23,34.11,9.4,44.54,10.8,67.0,17.8,14.219999999999999,25.4,159.87,63.4
24,41.46999999999999,14.8,68.58,18.6,35.79,8.2,19.6,14.6,165.43999999999997,56.20000000000001
25,37.60999999999999,6.4,27.879999999999995,2.0,45.129999999999995,5.6,40.61,16.6,151.22999999999996,30.6
26,30.21,9.4,60.44,3.0,55.519999999999996,0.8,19.34,57.2,165.51000000000002,70.4
27,55.90999999999999,2.0,35.42999999999999,1.0,64.2,13.4,25.34,39.0,180.87999999999997,55.4
28,44.98,15.6,41.64,14.2,50.029999999999994,17.6,48.61,16.6,185.26,64.0
29,59.14,3.2,85.87,3.8,37.28000000000001,3.2,21.6,28.6,203.89,38.8
30,21.75,18.2,51.989999999999995,5.6,40.64,4.6,53.32000000000001,15.0,167.7,43.4
31,79.83000000000001,7.8,45.559999999999995,2.6,27.720000000000006,2.4,28.74,32.4,181.85000000000002,45.2
32,90.64,0.4,40.37,1.0,41.410000000000004,1.0,60.839999999999996,2.0,233.26,4.4
33,62.8,3.8,43.650000000000006,2.4,39.4,7.0,60.4,15.0,206.25,28.2
34,103.3,0.8,40.42,0.8,46.559999999999995,14.6,20.55,48.6,210.83,64.8
35,52.62999999999998,2.2,55.019999999999996,1.6,69.24,7.2,37.660000000000004,18.4,214.54999999999998,29.4
36,75.34,7.0,87.84,4.0,22.919999999999998,12.0,31.409999999999997,5.0,217.51,28.0
37,66.0,11.6,48.33,7.0,63.39000000000001,2.8,9.95,27.8,187.67,49.2
38,66.87,5.8,35.459999999999994,12.8,73.54,4.6,71.57,14.4,247.44,37.6
39,68.59,2.4,52.0,1.6,55.61,14.4,26.579999999999995,48.6,202.77999999999997,67.0
40,50.12,3.6,70.12,3.6,33.209999999999994,5.4,47.38000000000001,29.0,200.82999999999998,41.6
41,71.07000000000001,7.6,54.07000000000001,3.8,37.739999999999995,8.4,33.339999999999996,5.2,196.22,24.999999999999996
42,68.23999999999998,3.0,72.75,8.0,43.41,6.6,50.91,27.8,235.30999999999997,45.400000000000006
43,65.5,4.6,41.83999999999999,11.8,59.010000000000005,21.6,18.05,31.6,184.4,69.6
44,73.3,1.0,39.839999999999996,1.8,59.010000000000005,9.6,40.169999999999995,43.4,212.31999999999996,55.8
45,86.06,3.6,55.239999999999995,5.2,59.529999999999994,4.8,14.51,54.8,215.34,68.4
