episode_id,player_0_score,player_0_score_sem,player_0_wall_count,player_0_wall_count_sem,player_1_score,player_1_score_sem,player_1_wall_count,player_1_wall_count_sem,player_2_score,player_2_score_sem,player_2_wall_count,player_2_wall_count_sem,player_3_score,player_3_score_sem,player_3_wall_count,player_3_wall_count_sem,total_score,total_score_sem,total_wall_count,total_wall_count_sem
1,12.55,7.474707352130916,19.6,4.802082881417188,12.659999999999997,6.297150149075372,23.4,6.462197768561405,9.129999999999997,3.3110647834193756,20.4,4.4788391353117385,6.359999999999998,3.8380789465564664,21.8,6.382789358893179,40.7,12.654505126633754,85.2,11.168706281391769
2,30.050000000000004,15.560679612407682,5.0,2.7202941017470885,22.029999999999998,2.038663778066408,7.0,2.073644135332772,27.659999999999997,0.8076818680644003,3.6,1.5684387141358123,19.319999999999997,2.8392604670934998,16.0,3.9496835316263,99.06,16.439642636018583,31.6,5.6267219586540795
3,54.52,15.878913690803916,0.2,0.2,25.160000000000004,1.0345772083319833,9.0,2.0976176963403033,26.02,1.784978991473008,6.8,3.555277766926235,19.209999999999997,8.7105883842597,18.6,6.749814812274481,124.91,20.664301343137637,34.6,10.735921013122255
4,31.529999999999994,2.1012853209404954,0.6,0.3999999999999999,27.2,0.5121035051627749,5.2,1.019803902718557,21.449999999999996,1.658237015628344,16.4,3.280243893371345,40.53,7.324762794794109,10.2,4.2,120.71000000000001,7.689203469801018,32.4,6.705221845696084
5,20.69,17.518849848092195,14.4,4.4,25.99,1.3521649307684322,7.8,2.7276363393971708,24.13,6.618999169058717,5.4,4.214261501141096,33.449999999999996,3.142888798541876,8.8,4.509988913511872,104.25999999999999,16.821455050024657,36.4,6.038211655780211
6,35.83,18.41312439538711,7.8,3.1368774282716245,52.63000000000001,7.959877511620391,8.4,3.4438350715445125,41.73,13.257418677857316,2.0,1.378404875209022,21.91,7.997849711016079,15.6,6.75721836261046,152.1,24.947810525174354,33.8,8.867919710958144
7,59.46,35.64491688866731,8.4,3.0757112998459393,43.81,9.839415633054639,20.0,3.4351128074635335,30.979999999999997,3.6658082328457926,5.6,4.007492981902776,48.690000000000005,11.614585657697825,24.0,3.5777087639996634,182.94,40.72917688831926,58.0,5.639148871948674
8,55.75999999999999,20.11077074604551,8.0,3.420526275297414,46.16,19.635728914404986,17.4,6.313477647065838,31.159999999999997,6.279976114604258,3.4,2.2271057451320084,20.4,21.65680031768313,22.8,8.48174510345601,153.48,11.662424705008814,51.6,11.800847427197759
9,36.16,13.322456605296185,3.4,2.4617067250182343,44.87,19.171141071934134,9.8,3.903844259188627,49.18,16.37496259537713,3.2,2.267156809750927,61.65,16.457422337656645,16.2,5.911006682452659,191.85999999999999,30.701939678137595,32.6,9.162968951164245
10,28.24,5.071030467271912,11.0,6.252999280345392,46.470000000000006,19.64090501988134,16.2,6.916646586316233,30.800000000000004,4.217967520026679,6.0,4.393176527297759,56.93000000000001,14.700668352153244,27.2,7.137226352022192,162.44000000000003,13.020602904627733,60.4,7.978721702127477
11,45.82000000000001,9.097947570743637,15.6,8.334266614405854,61.040000000000006,6.580148174623427,5.0,1.9235384061671343,26.649999999999995,2.0147580499901228,8.2,7.952358140828417,22.309999999999995,7.892217685796561,28.6,6.8454364360499325,155.82,9.383077853241973,57.4,19.497692171126303
