penalty,penalty_val,mean_score,mean_walls,p0_score,p0_walls,p1_score,p1_walls,p2_score,p2_walls,p3_score,p3_walls
00p5,0.05,254.78974999999997,161.51,73.87812499999998,29.744999999999997,65.33656249999999,25.733749999999997,66.49112499999998,31.435000000000002,49.08393749999999,74.59625000000001
0p5,0.5,209.471,114.82374999999999,58.79575,21.60125,60.771187499999996,23.4375,52.296875,22.947499999999998,37.6071875,46.8375
5,5.0,43.814812499999995,16.7275,20.77075,2.9925000000000006,22.5679375,1.1637499999999998,22.2764375,1.8537499999999998,-21.800312500000004,10.717500000000001
