episode_id,player_0_ball_score,player_0_wall_count,player_1_ball_score,player_1_wall_count,player_2_ball_score,player_2_wall_count,player_3_ball_score,player_3_wall_count,total_ball_score,total_wall_count
74,63.0,56.4,114.0,19.2,42.0,3.2,72.0,44.2,291.0,123.0
75,63.0,41.6,90.0,47.6,75.0,35.2,61.0,87.4,289.0,211.8
76,57.0,58.4,60.0,49.0,90.0,19.8,56.0,129.8,263.0,257.0
77,78.0,23.2,84.0,27.0,84.0,22.0,66.0,56.4,312.0,128.6
78,81.0,39.4,81.0,31.4,63.0,31.0,68.0,78.6,293.0,180.39999999999998
79,111.0,12.0,87.0,1.6,51.0,14.4,57.0,88.6,306.0,116.6
80,93.0,16.6,69.0,4.8,48.0,17.2,69.0,54.8,279.0,93.39999999999999
81,102.0,45.8,42.0,22.6,51.0,14.4,60.0,49.4,255.0,132.2
82,54.0,43.4,69.0,23.6,75.0,27.8,54.0,125.8,252.0,220.6
83,60.0,44.0,69.0,58.0,51.0,39.2,64.0,47.2,244.0,188.4
84,63.0,44.0,93.0,61.0,76.0,29.2,29.0,153.6,261.0,287.8
85,57.0,25.0,114.0,44.4,60.0,22.6,69.0,79.0,300.0,171.0
86,96.0,36.0,72.0,35.4,51.0,23.8,69.0,47.4,288.0,142.6
87,65.0,22.4,72.0,27.4,75.0,29.4,45.0,75.8,257.0,155.0
88,84.0,29.2,99.0,25.6,66.0,30.4,70.0,39.8,319.0,125.0
89,93.0,37.0,69.0,22.8,72.0,36.8,64.0,32.6,298.0,129.2
90,60.0,13.0,96.0,19.6,69.0,31.0,84.0,36.8,309.0,100.4
91,52.0,30.0,78.0,31.4,81.0,20.8,49.0,21.4,260.0,103.6
92,60.0,13.4,66.0,27.0,78.0,27.2,52.0,58.8,256.0,126.39999999999999
93,63.0,32.6,81.0,53.0,69.0,53.2,75.0,31.4,288.0,170.2
94,52.0,7.6,81.0,29.6,69.0,21.0,84.0,25.0,286.0,83.2
95,99.0,30.0,81.0,14.4,59.0,31.6,49.0,44.2,288.0,120.2
96,67.0,32.0,90.0,15.4,57.0,36.2,72.0,50.2,286.0,133.8
97,72.0,19.2,54.0,39.4,79.0,13.8,78.0,49.6,283.0,122.0
98,81.0,30.4,61.0,47.6,78.0,75.4,45.0,109.6,265.0,263.0
99,51.0,10.4,81.0,51.6,45.0,24.0,46.0,148.8,223.0,234.8
100,66.0,10.8,93.0,33.2,72.0,29.6,66.0,32.0,297.0,105.60000000000001
101,57.0,4.4,105.0,13.8,75.0,11.0,54.0,68.6,291.0,97.8
102,87.0,22.0,84.0,25.0,63.0,22.6,55.0,41.4,289.0,111.0
103,66.0,39.8,81.0,26.6,60.0,37.2,60.0,60.8,267.0,164.4
104,87.0,14.8,72.0,23.6,53.0,14.4,57.0,29.4,269.0,82.2
105,57.0,14.4,72.0,27.4,66.0,28.8,72.0,57.2,267.0,127.8
106,69.0,19.0,81.0,30.8,90.0,21.8,63.0,38.2,303.0,109.80000000000001
107,64.0,16.2,87.0,5.4,84.0,30.8,51.0,59.4,286.0,111.8
108,60.0,27.2,90.0,33.4,60.0,21.0,69.0,31.2,279.0,112.8
109,81.0,33.0,84.0,26.2,62.0,26.0,64.0,81.8,291.0,167.0
110,69.0,37.4,78.0,41.6,68.0,22.0,67.0,52.2,282.0,153.2
111,69.0,18.0,75.0,26.8,73.0,6.4,45.0,36.0,262.0,87.2
112,69.0,10.6,87.0,18.8,88.0,19.8,52.0,89.0,296.0,138.2
113,33.0,10.4,84.0,17.2,87.0,16.2,90.0,15.0,294.0,58.8
114,64.0,22.6,87.0,57.6,74.0,60.0,72.0,31.6,297.0,171.8
115,60.0,14.0,78.0,28.6,87.0,23.4,48.0,57.0,273.0,123.0
116,69.0,33.8,87.0,23.0,69.0,22.2,38.0,23.0,263.0,102.0
117,81.0,27.2,93.0,40.4,66.0,43.0,57.0,40.8,297.0,151.4
118,50.0,1.8,102.0,25.6,78.0,23.2,70.0,60.2,300.0,110.8
119,60.0,17.0,102.0,7.4,75.0,19.4,53.0,13.0,290.0,56.8
120,69.0,17.2,102.0,41.4,66.0,69.8,55.0,44.2,292.0,172.6
121,84.0,10.8,93.0,34.0,45.0,23.2,68.0,88.8,290.0,156.8
122,81.0,38.6,66.0,44.2,60.0,30.0,69.0,56.0,276.0,168.8
123,96.0,28.8,81.0,15.6,48.0,17.6,69.0,27.4,294.0,89.4
124,70.0,47.6,78.0,57.8,87.0,25.0,53.0,92.8,288.0,223.2
125,36.0,4.2,99.0,33.8,93.0,24.6,45.0,10.6,273.0,73.2
126,37.0,0.8,81.0,31.2,87.0,42.2,68.0,57.2,273.0,131.4
127,96.0,31.6,78.0,30.6,51.0,36.6,72.0,32.8,297.0,131.6
128,90.0,31.4,72.0,46.4,54.0,43.4,75.0,62.2,291.0,183.4
129,90.0,28.2,57.0,8.4,57.0,14.2,90.0,40.6,294.0,91.4
130,78.0,24.2,81.0,33.6,51.0,34.0,81.0,21.6,291.0,113.4
131,54.0,33.8,87.0,21.6,63.0,30.2,84.0,34.2,288.0,119.8
132,84.0,38.2,84.0,18.6,69.0,21.2,57.0,42.8,294.0,120.8
133,72.0,41.4,81.0,30.6,60.0,35.6,78.0,42.4,291.0,150.0
134,81.0,60.0,84.0,32.8,75.0,26.6,48.0,125.4,288.0,244.8
135,63.0,39.0,90.0,46.2,63.0,48.6,81.0,52.0,297.0,185.8
136,72.0,30.4,75.0,50.0,57.0,42.2,99.0,29.8,303.0,152.4
137,79.0,11.6,87.0,16.4,87.0,29.2,41.0,71.2,294.0,128.4
138,93.0,24.8,96.0,22.4,66.0,23.2,54.0,72.2,309.0,142.6
139,75.0,20.8,81.0,36.2,58.0,39.8,45.0,114.6,259.0,211.4
140,78.0,17.0,96.0,16.2,81.0,16.4,64.0,75.6,319.0,125.19999999999999
141,75.0,45.4,84.0,41.0,93.0,23.2,52.0,36.6,304.0,146.2
142,63.0,13.6,117.0,22.2,63.0,29.2,62.0,76.8,305.0,141.79999999999998
143,96.0,30.8,75.0,24.6,75.0,13.2,75.0,31.8,321.0,100.4
144,93.0,39.2,81.0,41.0,48.0,54.2,78.0,40.8,300.0,175.2
145,51.0,41.8,87.0,40.8,81.0,21.4,84.0,51.0,303.0,155.0
146,96.0,13.0,87.0,24.8,69.0,14.0,67.0,23.0,319.0,74.8
147,75.0,20.4,84.0,31.4,75.0,20.6,75.0,50.6,309.0,123.0
148,57.0,28.0,90.0,34.2,75.0,28.0,46.0,68.8,268.0,159.0
149,64.0,27.6,84.0,37.2,81.0,33.2,82.0,17.6,311.0,115.60000000000001
150,69.0,23.2,81.0,17.2,81.0,29.0,73.0,61.8,304.0,131.2
151,48.0,9.8,87.0,20.0,57.0,1.6,87.0,13.6,279.0,45.0
152,66.0,12.8,72.0,39.2,66.0,48.2,37.0,31.4,241.0,131.6
153,78.0,8.6,81.0,41.4,72.0,32.6,69.0,46.2,300.0,128.8
154,99.0,44.8,66.0,26.6,66.0,37.8,66.0,22.8,297.0,132.0
155,108.0,26.2,69.0,30.8,84.0,21.0,47.0,103.4,308.0,181.4
156,96.0,22.8,75.0,25.8,84.0,32.8,78.0,43.6,333.0,125.0
157,69.0,16.4,79.0,20.0,63.0,40.2,48.0,113.6,259.0,190.2
158,84.0,29.2,78.0,24.8,99.0,33.4,42.0,104.4,303.0,191.8
159,87.0,46.4,72.0,44.6,69.0,33.8,81.0,38.2,309.0,163.0
160,36.0,0.2,42.0,0.8,33.0,0.4,33.0,3.2,144.0,4.6000000000000005
