penalty,penalty_val,episode,total_score_mean,total_score_sem,wall_count_mean,wall_count_sem,ball_score_mean,ball_score_sem,p0_score_mean,p0_score_sem,p1_score_mean,p1_score_sem,p2_score_mean,p2_score_sem,p3_score_mean,p3_score_sem
0.05,0.05,45,246.38000000000002,28.229702796876907,193.8,57.59194388106725,120.0,0.0,113.85,14.27176933670104,35.870000000000005,24.78255273372782,50.81,13.47805920746752,45.85,10.127467600540621
0.05,0.05,46,236.31,10.0350127055226,135.2,52.14165321506406,116.0,3.5777087639996634,66.85,10.633155693396011,58.83,12.542460683613882,43.85,11.443906675606893,66.78,19.911271179912145
0.05,0.05,47,254.48999999999995,44.752046657108316,206.6,59.06511660870568,118.0,1.7888543819998317,80.85,12.401774066640625,44.85,5.993746741396402,62.80999999999999,13.27519039411488,65.97999999999999,25.05929607949912
0.05,0.05,48,233.36999999999998,12.11353457913916,160.2,36.09033111513387,120.0,0.0,85.82000000000001,17.50526549355936,48.870000000000005,11.110783950739032,43.79,15.21247119964406,54.89,12.130246493785688
0.05,0.05,49,254.35999999999999,12.824986549700549,159.6,41.68318605864959,120.0,0.0,76.80999999999999,15.850346368455167,50.86999999999999,10.372854958978264,45.82,13.699405826531311,80.85999999999999,13.360264967432343
0.05,0.05,50,244.8,12.43067174371522,157.8,60.37641923797733,116.0,2.1908902300206643,92.88,19.308162004706713,44.980000000000004,14.689456082510338,59.95,9.254231464578785,46.989999999999995,10.732570987419555
0.05,0.05,51,223.88000000000002,23.902148857372637,104.2,32.27556351173438,116.0,2.1908902300206643,63.970000000000006,8.163842232674515,34.989999999999995,7.4899986648863965,79.94,12.89963875463185,44.980000000000004,16.962904232471512
0.05,0.05,52,208.74,38.809322076016734,165.4,52.81408902934897,116.0,2.1908902300206643,44.910000000000004,18.53753705323337,42.94,12.21858747973758,65.93,6.844641699899273,54.959999999999994,24.24006353126988
0.05,0.05,53,251.68,13.764756445357108,102.4,31.207178661327266,120.0,0.0,53.94,10.912281154735703,61.86999999999999,10.445339630667833,34.95,7.0909237762085695,100.91999999999999,13.492713589193244
0.05,0.05,54,281.51000000000005,20.804112093526125,225.8,19.635478094510457,116.0,3.5777087639996634,77.86999999999999,15.674148142722139,64.91,13.386600763449993,90.80999999999999,17.8733846822587,47.92,13.931931667934638
0.05,0.05,55,254.55,19.883234143368124,220.4,71.0659412095555,116.0,3.5777087639996634,100.87,7.139532197560284,70.86999999999999,20.523462670806794,44.85,17.7059933355912,37.96,7.539846152276582
0.05,0.05,56,276.45,26.66127528832783,192.8,37.62594849302805,120.0,0.0,60.839999999999996,21.3982681542222,83.82000000000001,10.71863424135743,65.87,10.3467347506351,65.92,14.6980719824064
0.05,0.05,57,293.46000000000004,19.794243607675437,212.2,32.94285962086473,112.0,4.381780460041329,97.87,5.919148587423701,66.78999999999999,16.763379134291508,65.88,16.28405109301736,62.92,26.703140639258145
0.05,0.05,58,282.46,22.877475385190564,127.4,43.27641389949033,120.0,0.0,79.89000000000001,17.871790061434808,80.80999999999999,7.422808093976296,63.83,13.417724099116064,57.92999999999999,9.212215802943392
0.05,0.05,59,243.53000000000003,31.87850561114809,166.2,28.922517179526398,114.0,3.5777087639996634,59.85,14.661575631561568,42.85,23.120155708818228,97.83999999999999,12.703309804928793,42.989999999999995,17.92852698913104
0.05,0.05,60,336.18999999999994,31.08358216164925,176.2,42.44657818953137,118.0,1.7888543819998317,95.75999999999999,18.03715276866058,70.71,19.076128538044607,106.85999999999999,32.0688927155273,62.86,15.814318828201232
0.05,0.05,61,270.43999999999994,31.1632873747299,189.4,58.63077690087349,116.0,2.1908902300206643,58.86,13.833462328715829,61.879999999999995,9.642433302854625,98.8,14.380625855643418,50.9,19.966557039209338
0.05,0.05,62,307.51,12.241473767484049,92.2,22.668745002756545,120.0,0.0,87.85000000000001,22.763154438697637,76.82,21.28390283759067,69.92999999999999,6.000026666607407,72.91,12.104118307419172
0.05,0.05,63,244.45,19.8000656564568,122.8,40.17003858599092,120.0,0.0,87.88000000000001,9.013640773849376,67.85,8.677637927454683,38.88,4.751096715496328,49.839999999999996,12.005018950422361
0.05,0.05,64,298.62,20.971173548468865,79.6,6.3535816670599266,120.0,0.0,84.85,10.207889105980728,93.89,24.778548787207047,49.92,13.01310570156102,69.96,10.193138868866647
0.05,0.05,65,261.52,13.58932375065073,157.8,55.54702512286323,118.0,1.7888543819998317,73.87,20.012219267237704,59.88000000000001,8.589628629923414,74.86999999999998,15.2931527161668,52.9,23.408583895656736
0.05,0.05,66,303.41,32.1880238598147,174.6,21.108481707598013,118.0,1.7888543819998317,75.84,30.03441159736611,97.82999999999998,9.826785842787048,81.84,14.010341894472097,47.9,16.508827941437875
0.05,0.05,67,326.57,21.31516173994464,151.6,49.43164978027741,114.0,3.5777087639996634,114.81000000000002,31.465922519449514,72.85999999999999,14.424669146985659,67.95,17.216288798692936,70.95,18.397847700206672
0.05,0.05,68,222.7,15.216799926397139,190.0,45.79868993759538,114.0,3.5777087639996634,47.89,15.915259344415347,81.88,22.786323090836746,45.95,8.639513875213119,46.980000000000004,14.54016230996064
0.05,0.05,69,273.49,24.331121634647257,132.8,42.999906976643565,116.0,3.5777087639996634,86.78999999999999,22.013897428669917,69.86999999999999,10.948996301031434,62.89,14.041833213651271,53.94,17.84927673604732
0.05,0.05,70,242.51,11.134625274341296,110.8,24.214706275319546,116.0,3.5777087639996634,57.85,15.578221978133447,72.88,15.519191989275729,85.87,17.71702345203618,25.910000000000004,14.828272994519624
0.05,0.05,71,256.71,11.74963318576372,98.0,43.217589011882644,118.0,1.7888543819998317,65.97,5.547262387881071,51.95,9.016673444236517,70.86,6.090770066255991,67.92999999999999,12.37518161482893
0.05,0.05,72,220.67,14.709280063959625,126.8,18.439956616001027,120.0,0.0,63.92999999999999,11.798081199923994,50.93,10.048309310525825,60.94,8.97912467894282,44.86999999999999,5.0892946466087015
0.05,0.05,73,263.69999999999993,19.61031871235141,135.8,36.25619946988377,120.0,0.0,90.88000000000001,27.367300195671472,62.92,9.545486891720087,67.91,10.33292214235644,41.989999999999995,10.258073893280356
0.05,0.05,74,255.74000000000007,18.02135067080156,153.6,35.124464408727995,116.0,3.5777087639996634,106.95,12.834352340496187,39.9,5.635725330425534,59.92,11.656814316098545,48.97,24.580649299804914
0.05,0.05,75,223.55,26.387716839469082,100.8,14.10078012026285,118.0,1.7888543819998317,56.85,16.908057250908513,71.91,19.170620229924747,49.9,18.923023014307198,44.88999999999999,8.464105386867534
0.05,0.05,76,208.65,31.834060375641688,166.0,44.58250778051858,112.0,5.215361924162119,45.9,9.392656706172117,61.89,12.142853042016114,60.92999999999999,17.340949224307185,39.92999999999999,14.315785692723956
0.05,0.05,77,275.47,8.084758499794532,87.6,23.58067004985227,120.0,0.0,98.86,22.47677645927013,29.839999999999996,3.752663054418821,100.85,9.95090950617078,45.92,7.2685706985624075
0.05,0.05,78,281.6,17.61491981247715,80.0,24.579666393179544,120.0,0.0,54.90999999999999,7.461935405777778,71.92,18.647405181418673,75.9,14.937208574563057,78.86999999999999,21.80342908810447
0.05,0.05,79,236.61999999999998,6.917233551066498,161.8,39.6791128933095,120.0,0.0,81.89,27.996236889982196,21.919999999999998,17.23150951019672,85.87,16.9874224060038,46.94,14.52957948462377
0.05,0.05,80,263.56,9.67825810773819,77.6,13.307441527205745,120.0,0.0,73.9,25.737532904301453,73.83,21.520100371513138,40.92999999999999,6.992075514466358,74.9,16.81492789160869
0.05,0.05,81,246.68999999999997,15.322482827531573,133.2,38.67133305175812,116.0,3.5777087639996634,65.91,7.658817141047303,61.9,7.6915668104749635,82.92999999999999,12.043501152073677,35.95,17.40001724137077
0.05,0.05,82,323.66999999999996,28.41191158651596,53.0,10.49571341072154,120.0,0.0,102.89000000000001,13.72133666958143,94.91,22.95912193442946,62.919999999999995,15.339371564702384,62.95,9.018891284409632
0.05,0.05,83,254.66,15.737391143388406,203.0,58.58805338974831,112.0,4.381780460041329,51.93000000000001,12.854420251415464,64.9,5.284070400742215,114.86999999999998,17.457408742422224,22.96,7.135031885002337
0.05,0.05,84,262.46999999999997,6.61673031035722,59.6,9.877651542750433,120.0,0.0,81.81,20.70153810710692,61.870000000000005,13.813924858634492,41.86,6.393330900242846,76.92999999999999,11.096671573043873
0.05,0.05,85,339.28000000000003,42.6356085918801,135.2,25.636536427528583,120.0,0.0,108.77000000000001,30.667411367769528,68.82000000000001,10.719520511664689,90.78999999999999,23.990124634940937,70.9,18.169265257571645
0.05,0.05,86,278.27,25.475111776006,90.0,20.670752284326763,120.0,0.0,78.8,15.582689113243584,55.77,15.446485684452627,68.82,7.808413411186681,74.88,16.261627224850532
0.05,0.05,87,326.05,16.509124749664956,85.8,20.104526853422836,120.0,0.0,99.75,10.100643543854025,36.7,6.892300051506752,123.72999999999999,29.431937075224933,65.87,5.558139976646863
0.05,0.05,88,330.95,36.2410899394596,164.4,25.219992069784638,118.0,1.7888543819998317,79.69,14.761540570008265,109.64000000000001,24.68563711958838,71.72999999999999,17.927010905335,69.89000000000001,17.596064332685305
0.05,0.05,89,270.14,23.82907635641801,143.8,35.871325595801444,118.0,1.7888543819998317,55.660000000000004,6.395113759738759,93.75999999999999,20.64621224341162,76.78,9.852812796354144,43.940000000000005,9.08827156284406
0.05,0.05,90,292.63,19.018394253984745,84.2,15.593331908222822,120.0,0.0,80.6,11.935736257139734,52.55999999999999,9.344981540912748,90.82000000000001,15.626686149020847,68.65,7.370318853346849
0.05,0.05,91,284.51,18.165128130569297,107.8,21.047375133255926,120.0,0.0,58.57000000000001,9.07792487300925,76.65,17.55166658753521,85.65,15.924930141134055,63.64000000000001,17.35215490940534
0.05,0.05,92,243.67,49.363797665900854,142.0,49.474033593391184,112.0,5.215361924162119,65.53999999999999,16.51381482274765,57.71,20.680171179175474,61.69,11.853703218825752,58.73,20.923152726107027
0.05,0.05,93,270.94000000000005,18.316213582506624,141.8,31.502888756429943,118.0,1.7888543819998317,83.58,18.08853006742118,56.85,12.349931173897286,51.839999999999996,15.249573108779142,78.67,18.385595448611394
0.05,0.05,94,317.61,33.88719345121398,175.2,38.44934329738285,120.0,0.0,67.55,17.228522861812614,123.6,25.3172194365811,51.75,13.875928797741793,74.71000000000001,9.846109891728814
0.05,0.05,95,318.71999999999997,26.921788945016267,115.4,21.302769772966144,114.0,5.366563145999495,78.58,15.885135189855955,56.64,19.584899284908257,105.78999999999999,21.33229195374937,77.71,21.17298939687072
0.05,0.05,96,289.53000000000003,16.267972215368456,109.2,14.348240310226199,120.0,0.0,67.59,12.85434090103417,59.65,12.291541807275438,71.69,9.842310704301099,90.6,13.072168909557433
0.05,0.05,97,372.81,43.18173549082991,260.4,45.80882011141522,118.0,1.7888543819998317,160.59999999999997,35.236651373250545,69.65,8.808053133354724,83.75999999999999,24.15134530414403,58.8,17.27787602687321
0.05,0.05,98,295.91,18.946584916548947,163.0,8.885943956609225,116.0,2.1908902300206643,83.67,10.78751685977825,85.67,13.796206725038589,97.74000000000001,14.163095706800828,28.829999999999995,15.326914888522083
0.05,0.05,99,273.23,6.745525924640717,187.4,40.713241089355684,112.0,5.215361924162119,84.64,19.651577035953117,65.88,16.753206260295368,93.82000000000001,13.16011854049955,36.1125,7.2720763025424855
0.05,0.05,100,289.78999999999996,27.345743361627598,144.8,43.604036510396604,118.0,1.7888543819998317,67.62,7.7226498043094,63.65,9.848908568973517,83.75999999999999,20.025191135167724,74.75999999999999,24.341451887675063
0.05,0.05,101,330.73999999999995,35.882027255995446,89.2,19.85023929326798,118.0,1.7888543819998317,66.72,16.076284396588658,104.61999999999998,12.038368660246286,73.75,13.702700463777203,85.65,21.86368221503414
0.05,0.05,102,301.15,33.05124505975532,191.0,82.57602557643472,116.0,2.1908902300206643,85.75999999999999,36.793459744905746,41.769999999999996,19.69789125769558,102.78000000000002,19.368203840315186,70.84,25.32366245233892
0.05,0.05,103,322.31,11.359087991559882,121.6,32.14666390156216,120.0,0.0,61.42999999999999,14.867983050837795,103.5,18.214356974650517,93.67,10.797662710049801,63.709999999999994,20.322162286528467
0.05,0.05,104,271.97,29.53151062847954,147.2,22.858521387001392,116.0,3.5777087639996634,80.38,23.750644622830766,67.44,5.037368360562884,42.529999999999994,6.060603930302656,81.62,28.72186484196317
0.05,0.05,105,302.12,12.294377576762471,101.0,24.906224121692954,120.0,0.0,115.47999999999999,10.8990146343603,63.410000000000004,8.894069934512546,63.589999999999996,7.282628646306223,59.64,3.487446056930486
0.05,0.05,106,293.52,27.77663262528415,151.0,45.388104168383144,114.0,5.366563145999495,72.28,17.237897783662596,84.33999999999999,12.106257885903469,51.379999999999995,19.131045972450117,85.52000000000001,13.11167876360613
0.05,0.05,107,327.57,30.070053541688278,109.0,17.760630619434657,120.0,0.0,121.29,27.177738684445398,67.36999999999999,6.1138302233542605,73.44,16.18514998385866,65.47,24.222607621806535
0.05,0.05,108,301.63,18.85601018243255,151.8,45.730864850776655,120.0,0.0,68.31,15.883585237596707,70.32,11.3356834818197,110.46,16.207290951914203,52.54,18.76860889890351
0.05,0.05,109,215.9,28.229264956778454,244.8,44.84230145744083,116.0,2.1908902300206643,91.39000000000001,20.445818154331704,53.4,10.896806871739997,45.42999999999999,9.882900383996592,25.68,11.52286075590606
0.05,0.05,110,254.77000000000004,37.633430882660704,196.4,54.589815900037614,106.0,5.366563145999495,45.339999999999996,11.5466566589641,95.32000000000001,21.85849308621251,85.4,22.280978434530205,28.709999999999997,13.296950026227819
0.05,0.05,111,258.62,18.938218501221275,40.8,12.011327986530048,120.0,0.0,63.36,24.462029351629845,64.22,18.69286280910444,63.40999999999999,15.754100418621178,67.63000000000001,10.036260259678402
0.05,0.05,112,167.82,42.224840082586454,250.2,52.01492093620829,110.0,4.0,50.26,15.699117172631079,40.25,6.256564552532003,69.53999999999999,17.325267097508192,7.7700000000000005,25.627842671594504
0.05,0.05,113,200.68,32.042841946369236,172.6,44.20009049764491,114.0,2.1908902300206643,88.33,21.671592465714184,23.07,3.595680742223925,62.38000000000001,16.55129964685553,26.9,4.322568680773041
0.05,0.05,114,252.57,34.79111265826375,146.0,48.21866858385868,110.0,4.898979485566356,107.27000000000001,21.32318268927038,47.13000000000001,7.165592787760131,65.37,10.13966074383162,41.0,15.181954748977484
0.05,0.05,115,217.84,9.426424560775947,86.2,46.32183070648223,112.0,4.381780460041329,81.28999999999999,26.175845354066407,58.17999999999999,14.690599715464305,35.59,11.398529729750237,42.779999999999994,16.63765368073275
0.05,0.05,116,229.98999999999995,21.16768008072684,221.0,39.44008113581918,112.0,1.7888543819998317,116.33999999999999,26.93424734422701,50.17999999999999,10.79142807973069,41.529999999999994,17.852073268951145,21.94,1.7576347743487553
0.05,0.05,117,293.18,44.280448507213656,296.4,65.75201898040851,110.0,2.8284271247461903,78.52000000000001,36.48343350070001,74.27000000000001,26.412181280613684,90.48000000000002,20.98944306073889,49.910000000000004,29.040084021917018
0.05,0.05,118,263.01000000000005,26.930033048624356,133.8,45.01768541362383,120.0,0.0,91.49000000000001,21.58122054008994,46.3,7.9700564615315,57.53000000000001,8.596971559799417,67.69000000000001,25.312401703512844
0.05,0.05,119,222.43,43.61293065135614,273.2,64.22547781060099,108.0,3.346640106136302,72.56,15.721853580287535,34.42999999999999,12.396197804165599,86.66,30.28039761958221,28.78,9.958981875673839
0.05,0.05,120,284.4,37.01499155747574,271.8,40.121216332509164,116.0,3.5777087639996634,128.5,11.71335135646498,45.45,10.37046768472859,28.660000000000004,10.03532161916099,81.78999999999999,28.857506475785463
0.05,0.05,121,316.21999999999997,25.523164380617068,131.0,35.72674068537459,116.0,2.1908902300206643,112.50999999999999,26.60848887103512,79.33,14.510028256347399,45.67,11.028314467768862,78.71000000000001,27.102241235735466
0.05,0.05,122,252.2,13.580014727532514,225.4,63.47194655909018,118.0,1.7888543819998317,87.49999999999999,9.518875984064504,66.41000000000001,18.184814544008965,35.46,19.548357475757392,62.830000000000005,23.275513313351432
0.05,0.05,123,304.47,25.57588551741659,169.4,30.213374521890135,116.0,3.5777087639996634,80.65,12.93760410586133,101.59,32.48523479982868,37.61,11.683205039714059,84.62,14.615379570849331
0.05,0.05,124,259.71999999999997,17.832227006181814,242.8,33.68014251751319,118.0,1.7888543819998317,36.64,6.701543105882404,70.47,13.447480061334911,95.74,18.502115554714276,56.86999999999999,9.091090143651641
0.05,0.05,125,227.75,31.83605503199164,235.2,27.69173161793968,112.0,5.215361924162119,29.75,18.605413190789392,92.49999999999999,17.354601695227696,49.69,16.462225851931443,55.81,19.165225800913486
0.05,0.05,126,312.61999999999995,34.44326813762016,190.0,36.108724707472014,120.0,0.0,98.67,16.0183682065309,82.52000000000001,13.64619800530536,80.54,20.10039502099399,50.89,11.260758411403735
0.05,0.05,127,362.5,47.91217381835225,197.2,20.394901323615176,120.0,0.0,110.66,9.59263675951508,82.47,26.716981865472746,90.61,23.207728885007253,78.76,29.686863761603373
0.05,0.05,128,283.76,9.688605678837384,195.8,42.86481074261264,118.0,1.7888543819998317,87.8,10.0887362935107,69.50999999999999,10.190273794162744,93.54999999999998,19.093522461819344,32.9,10.132176469051455
0.05,0.05,129,224.01,47.12421118703208,192.6,58.54953458397427,118.0,1.7888543819998317,59.71,7.042902810631422,75.71000000000001,11.510850533301177,69.78999999999999,10.62185859442687,18.800000000000004,22.86924572433468
0.05,0.05,130,227.60999999999999,21.376414105270317,149.8,58.830876247086444,110.0,5.656854249492381,45.559999999999995,8.688076887320921,93.53,19.508795964897477,47.660000000000004,10.696255419538184,51.074999999999996,10.967047232505202
0.05,0.05,131,311.65999999999997,20.19138628227393,120.8,31.39859869484624,120.0,0.0,71.45,15.00603212045076,85.64,6.800505863536918,103.67999999999999,23.772558129069743,50.89,11.668987959544737
0.05,0.05,132,196.69,57.07465882508629,238.4,90.6327093272622,116.0,2.1908902300206643,46.69,31.00691342265463,49.540000000000006,15.578269480272835,58.67,31.143428199220462,41.79,12.337417882198853
0.05,0.05,133,275.22999999999996,37.43425864098287,183.8,17.28675793779736,120.0,0.0,64.55,14.580240052893503,96.5,23.742464067573106,66.49000000000001,9.479993670883964,47.69,14.732870731802405
0.05,0.05,134,260.11,32.97555882771359,191.6,52.92455006894248,116.0,3.5777087639996634,85.53,13.30448495808838,56.33,5.053525502062892,82.45,30.692067379047632,35.8,12.492085494424058
0.05,0.05,135,269.21,20.41617691929613,193.4,68.79220886117845,118.0,1.7888543819998317,65.61,10.03874892603655,65.35000000000001,18.210019220198532,77.50999999999999,17.00627178425654,60.73999999999999,13.160998442367507
