episode_id,player_0,player_1,player_2,player_3,total_avg,scheme
1,25.5,30.0,28.0,19.5,103.0,Linear
2,58.5,30.0,30.0,30.0,148.5,Linear
3,79.5,41.0,31.5,43.5,195.5,Linear
4,55.5,55.5,51.0,49.5,211.5,Linear
5,48.5,61.5,63.0,55.0,228.0,Linear
6,60.0,63.0,48.0,63.0,234.0,Linear
7,57.0,70.5,72.0,75.0,274.5,Linear
8,67.5,55.5,85.5,79.5,288.0,Linear
9,85.5,75.0,99.0,70.5,330.0,Linear
10,75.0,70.5,100.5,66.0,312.0,Linear
11,79.5,70.5,73.5,81.0,304.5,Linear
12,70.5,55.0,84.0,90.0,299.5,Linear
13,94.5,79.5,99.0,61.0,334.0,Linear
14,96.5,84.0,85.5,84.0,350.0,Linear
15,108.0,106.5,75.0,81.0,370.5,Linear
16,93.0,88.5,93.0,69.0,343.5,Linear
17,106.5,90.0,73.5,102.0,372.0,Linear
18,96.0,82.5,69.0,103.5,351.0,Linear
19,97.5,81.0,89.5,93.0,361.0,Linear
20,108.0,77.5,97.5,100.5,383.5,Linear
21,100.5,75.0,115.5,102.0,393.0,Linear
22,111.0,99.0,81.0,84.0,375.0,Linear
23,106.5,72.0,91.5,97.5,367.5,Linear
24,103.5,112.5,64.5,123.0,403.5,Linear
25,99.0,66.0,75.0,130.5,370.5,Linear
26,102.0,100.5,87.0,109.5,399.0,Linear
27,100.5,78.0,84.0,109.5,372.0,Linear
28,103.5,93.0,91.5,112.5,400.5,Linear
29,103.5,114.0,102.0,94.5,414.0,Linear
30,108.0,91.5,117.0,103.5,420.0,Linear
31,93.0,93.0,97.5,129.0,412.5,Linear
32,99.0,103.5,99.0,108.0,409.5,Linear
33,97.5,76.5,115.5,112.5,402.0,Linear
34,102.0,91.5,108.0,106.5,408.0,Linear
35,105.0,100.5,102.0,109.5,417.0,Linear
36,87.0,94.5,114.0,105.0,400.5,Linear
37,109.5,115.5,76.5,93.5,395.0,Linear
38,85.5,88.5,96.0,135.0,405.0,Linear
39,114.0,84.0,91.5,105.0,394.5,Linear
40,129.0,75.0,111.0,90.0,405.0,Linear
41,126.0,93.0,93.0,102.0,414.0,Linear
42,127.5,63.0,72.0,141.0,403.5,Linear
43,100.5,72.0,112.5,121.5,406.5,Linear
44,120.0,102.0,99.0,100.5,421.5,Linear
45,102.0,106.5,111.0,111.0,430.5,Linear
46,99.0,111.0,93.0,117.0,420.0,Linear
47,108.0,94.5,106.5,124.5,433.5,Linear
48,112.5,102.0,109.5,117.0,441.0,Linear
49,114.0,115.5,100.5,105.0,435.0,Linear
50,129.0,99.0,99.0,100.5,427.5,Linear
51,118.5,97.5,91.5,106.5,414.0,Linear
52,105.0,115.5,93.0,111.0,424.5,Linear
53,114.0,117.0,94.5,91.5,417.0,Linear
54,93.0,111.0,94.5,120.0,418.5,Linear
55,123.0,94.5,88.5,114.0,420.0,Linear
56,99.0,124.5,97.5,105.0,426.0,Linear
57,108.0,75.0,105.0,114.0,402.0,Linear
58,81.0,127.5,114.0,82.5,405.0,Linear
59,109.5,96.0,99.0,117.0,421.5,Linear
60,112.5,109.5,97.5,105.0,424.5,Linear
61,111.0,100.5,105.0,120.0,436.5,Linear
62,114.0,114.0,106.5,100.5,435.0,Linear
63,111.0,84.0,127.5,111.0,433.5,Linear
64,109.5,114.0,85.5,114.0,423.0,Linear
65,120.0,102.0,118.5,85.5,426.0,Linear
66,121.5,93.0,102.0,97.5,414.0,Linear
67,127.5,108.0,109.5,79.5,424.5,Linear
68,105.0,102.0,111.0,102.0,420.0,Linear
69,111.0,94.5,85.5,105.0,396.0,Linear
70,105.0,88.5,88.5,111.0,393.0,Linear
71,144.0,31.5,60.0,130.5,366.0,Linear
72,112.5,59.0,124.0,118.5,414.0,Linear
73,100.5,85.5,96.0,123.0,405.0,Linear
74,100.5,91.5,106.5,112.5,411.0,Linear
75,109.5,100.5,109.5,96.0,415.5,Linear
76,112.5,106.5,82.5,114.0,415.5,Linear
77,118.5,124.5,90.0,96.0,429.0,Linear
78,108.0,114.0,102.0,91.5,415.5,Linear
79,100.5,115.5,102.0,93.0,411.0,Linear
80,76.5,76.5,63.0,88.5,304.5,Linear
1,27.0,25.0,24.0,15.0,91.0,Exponential
2,54.0,30.0,30.0,45.0,159.0,Exponential
3,37.5,30.0,31.5,54.0,153.0,Exponential
4,37.5,31.5,55.5,56.5,181.0,Exponential
5,51.0,40.5,57.0,45.0,193.5,Exponential
6,49.5,55.5,58.5,54.0,217.5,Exponential
7,61.5,57.0,51.0,54.0,223.5,Exponential
8,66.0,64.0,52.5,52.5,235.0,Exponential
9,64.5,69.0,57.0,54.0,244.5,Exponential
10,61.5,52.5,66.0,67.5,247.5,Exponential
11,75.0,73.5,58.5,70.5,277.5,Exponential
12,72.0,75.0,71.5,72.0,290.5,Exponential
13,60.0,69.0,57.0,75.0,261.0,Exponential
14,52.5,78.0,75.0,67.5,273.0,Exponential
15,63.0,64.5,63.0,66.0,256.5,Exponential
16,72.0,73.5,58.5,51.0,255.0,Exponential
17,68.0,62.5,69.0,76.5,276.0,Exponential
18,58.5,49.5,76.5,61.5,246.0,Exponential
19,55.5,58.5,79.5,64.5,258.0,Exponential
20,60.0,55.5,58.5,58.5,232.5,Exponential
21,63.0,46.5,85.5,69.0,264.0,Exponential
22,70.5,72.0,79.5,66.0,288.0,Exponential
23,73.5,76.5,78.0,46.5,274.5,Exponential
24,78.0,69.0,66.0,79.5,292.5,Exponential
25,78.0,64.5,88.5,66.0,297.0,Exponential
26,76.5,72.0,85.5,69.0,303.0,Exponential
27,75.0,64.5,78.0,69.0,286.5,Exponential
28,100.5,88.5,72.0,52.5,313.5,Exponential
29,79.5,82.0,81.5,82.5,325.5,Exponential
30,94.5,72.0,76.5,79.5,322.5,Exponential
31,87.0,70.5,76.5,66.0,300.0,Exponential
32,88.5,73.5,67.5,75.0,304.5,Exponential
33,81.0,84.0,66.0,84.0,315.0,Exponential
34,70.5,84.0,91.5,67.5,313.5,Exponential
35,90.0,84.0,75.0,84.0,333.0,Exponential
36,70.0,99.0,69.0,85.5,323.5,Exponential
37,91.5,82.5,64.5,78.0,316.5,Exponential
38,68.5,72.0,70.5,76.5,287.5,Exponential
39,69.0,78.0,78.0,75.0,300.0,Exponential
40,81.0,52.5,85.5,100.5,319.5,Exponential
41,72.5,60.0,78.0,78.0,288.5,Exponential
42,80.5,74.0,87.0,78.0,319.5,Exponential
43,75.0,81.0,91.5,76.5,324.0,Exponential
44,73.5,70.5,73.5,78.0,295.5,Exponential
45,76.5,87.0,70.5,84.0,318.0,Exponential
46,74.5,76.5,69.0,78.0,298.0,Exponential
47,88.5,70.5,81.0,85.5,325.5,Exponential
48,87.0,70.5,94.5,84.0,336.0,Exponential
49,100.5,75.0,87.0,93.0,355.5,Exponential
50,109.5,76.5,75.0,88.5,349.5,Exponential
51,88.5,78.0,94.5,81.0,342.0,Exponential
52,102.0,88.5,72.0,81.0,343.5,Exponential
53,103.5,72.0,81.0,70.5,327.0,Exponential
54,79.5,97.5,102.0,67.5,346.5,Exponential
55,85.5,103.5,81.0,78.0,348.0,Exponential
56,91.5,88.5,87.0,78.0,345.0,Exponential
57,90.0,69.0,108.0,84.0,351.0,Exponential
58,94.5,79.5,81.0,78.0,333.0,Exponential
59,96.0,90.0,90.0,72.0,348.0,Exponential
60,100.5,82.5,79.5,79.5,342.0,Exponential
61,99.0,85.5,87.0,82.5,354.0,Exponential
62,86.5,98.0,97.5,87.0,369.0,Exponential
63,115.5,88.5,103.5,78.0,385.5,Exponential
64,78.0,99.0,100.5,87.0,364.5,Exponential
65,111.0,96.0,84.0,82.5,373.5,Exponential
66,105.0,94.5,82.5,87.0,369.0,Exponential
67,99.0,108.0,93.0,82.5,382.5,Exponential
68,114.0,78.0,96.0,78.0,366.0,Exponential
69,118.5,85.5,103.5,93.0,400.5,Exponential
70,100.5,94.5,70.5,108.0,373.5,Exponential
71,97.5,118.5,94.5,79.5,390.0,Exponential
72,93.0,108.0,87.0,96.0,384.0,Exponential
73,109.5,84.0,91.5,100.5,385.5,Exponential
74,115.5,102.0,90.0,91.5,399.0,Exponential
75,87.0,91.5,103.5,100.5,382.5,Exponential
76,118.5,85.5,105.0,97.5,406.5,Exponential
77,88.5,102.0,114.0,85.5,390.0,Exponential
78,109.5,90.0,103.5,97.5,400.5,Exponential
79,96.0,106.5,85.5,99.0,387.0,Exponential
80,55.5,69.0,66.0,64.5,255.0,Exponential
1,15.5,19.5,20.0,21.0,76.0,Inverse
2,30.0,35.5,30.5,30.0,126.0,Inverse
3,51.0,55.5,46.5,52.5,205.5,Inverse
4,66.0,73.5,58.5,49.5,247.5,Inverse
5,67.5,72.0,57.0,67.5,264.0,Inverse
6,79.5,66.0,63.0,69.0,277.5,Inverse
7,79.5,84.0,91.5,78.0,333.0,Inverse
8,75.0,73.5,88.5,97.5,334.5,Inverse
9,100.5,79.5,87.0,78.0,345.0,Inverse
10,99.0,76.5,78.0,79.5,333.0,Inverse
11,81.0,81.0,99.0,94.5,355.5,Inverse
12,76.5,102.0,84.0,102.0,364.5,Inverse
13,105.0,46.5,91.5,108.0,351.0,Inverse
14,118.5,54.0,99.0,99.0,370.5,Inverse
15,67.5,90.0,100.5,114.0,372.0,Inverse
16,106.5,87.0,87.0,94.5,375.0,Inverse
17,94.5,61.5,97.5,112.5,366.0,Inverse
18,111.0,94.5,94.5,98.5,398.5,Inverse
19,109.5,85.5,103.5,88.5,387.0,Inverse
20,85.5,93.0,126.0,90.0,394.5,Inverse
21,88.5,102.0,114.0,76.5,381.0,Inverse
22,117.0,84.0,99.0,91.5,391.5,Inverse
23,97.5,99.0,91.5,93.0,381.0,Inverse
24,100.5,79.0,85.5,93.0,358.0,Inverse
25,124.5,37.5,91.5,96.0,349.5,Inverse
26,96.0,82.5,85.5,82.5,346.5,Inverse
27,129.0,78.0,91.5,85.5,384.0,Inverse
28,120.0,93.0,81.0,79.5,373.5,Inverse
29,99.0,99.0,94.5,102.0,394.5,Inverse
30,106.5,112.5,84.0,85.5,388.5,Inverse
31,111.0,111.0,96.0,81.0,399.0,Inverse
32,109.5,103.5,88.5,90.0,391.5,Inverse
33,106.5,75.0,87.0,114.0,382.5,Inverse
34,100.5,121.5,87.0,81.0,390.0,Inverse
35,111.0,99.0,82.5,82.5,375.0,Inverse
36,96.0,108.0,82.5,93.0,379.5,Inverse
37,114.0,105.0,87.0,102.0,408.0,Inverse
38,133.5,102.0,97.5,85.5,418.5,Inverse
39,90.0,100.5,109.5,99.0,399.0,Inverse
40,97.5,123.0,96.0,99.0,415.5,Inverse
41,121.5,103.5,94.0,99.5,418.5,Inverse
42,105.0,99.0,106.5,109.5,420.0,Inverse
43,100.5,115.5,103.5,87.0,406.5,Inverse
44,93.0,114.0,105.0,103.5,415.5,Inverse
45,99.0,111.0,91.5,115.5,417.0,Inverse
46,97.5,106.5,103.5,115.5,423.0,Inverse
47,106.5,114.0,103.5,105.0,429.0,Inverse
48,117.0,99.0,96.0,106.5,418.5,Inverse
49,88.5,118.5,85.5,117.0,409.5,Inverse
50,91.5,117.0,105.0,79.5,393.0,Inverse
51,114.0,114.0,72.0,102.0,402.0,Inverse
52,117.0,111.0,97.5,84.0,409.5,Inverse
53,123.0,96.0,99.0,82.5,400.5,Inverse
54,102.0,111.0,114.0,96.0,423.0,Inverse
55,97.5,102.0,96.0,121.5,417.0,Inverse
56,120.0,97.5,111.0,87.0,415.5,Inverse
57,109.5,99.0,78.0,108.0,394.5,Inverse
58,105.0,106.5,79.5,124.5,415.5,Inverse
59,94.5,70.5,126.0,115.5,406.5,Inverse
60,120.0,102.0,100.5,97.5,420.0,Inverse
61,124.5,96.0,124.5,78.0,423.0,Inverse
62,102.0,102.0,97.5,111.0,412.5,Inverse
63,105.0,90.0,88.5,123.0,406.5,Inverse
64,94.5,108.5,110.5,105.0,418.5,Inverse
65,117.0,85.5,103.5,106.5,412.5,Inverse
66,102.0,88.5,103.5,111.0,405.0,Inverse
67,132.0,85.5,91.5,96.0,405.0,Inverse
68,109.5,105.0,90.0,115.5,420.0,Inverse
69,109.5,84.0,106.5,112.5,412.5,Inverse
70,100.5,109.5,93.0,112.5,415.5,Inverse
71,123.0,114.0,88.5,81.0,406.5,Inverse
72,112.5,108.0,94.5,112.5,427.5,Inverse
73,108.0,102.0,96.0,115.5,421.5,Inverse
74,96.0,112.5,95.5,103.5,407.5,Inverse
75,120.0,102.0,87.0,97.5,406.5,Inverse
76,94.5,114.0,96.0,115.5,420.0,Inverse
77,103.5,97.5,105.0,109.5,415.5,Inverse
78,108.0,124.5,96.0,96.0,424.5,Inverse
79,126.0,105.0,96.0,97.5,424.5,Inverse
80,67.5,85.5,67.5,72.0,292.5,Inverse
1,34.0,28.0,31.0,27.5,120.5,Distance Reward
2,63.0,31.5,36.0,51.0,181.5,Distance Reward
3,57.0,58.5,66.0,66.0,247.5,Distance Reward
4,36.5,64.0,78.0,58.5,237.0,Distance Reward
5,76.5,52.5,84.0,69.0,282.0,Distance Reward
6,78.0,79.5,73.5,66.0,297.0,Distance Reward
7,84.0,66.0,61.5,69.0,280.5,Distance Reward
8,85.5,67.5,79.5,93.0,325.5,Distance Reward
9,81.0,85.5,75.0,85.5,327.0,Distance Reward
10,85.5,67.5,79.5,75.0,307.5,Distance Reward
11,82.5,102.0,75.0,94.5,354.0,Distance Reward
12,100.5,72.0,82.5,112.5,367.5,Distance Reward
13,85.5,93.0,88.5,97.5,364.5,Distance Reward
14,87.0,79.5,99.0,90.0,355.5,Distance Reward
15,94.0,77.0,69.5,90.0,330.5,Distance Reward
16,103.5,70.5,88.5,85.5,348.0,Distance Reward
17,98.0,65.5,94.5,108.0,366.0,Distance Reward
18,87.0,90.0,84.0,103.5,364.5,Distance Reward
19,91.5,90.0,97.5,103.5,382.5,Distance Reward
20,111.0,105.0,78.0,99.0,393.0,Distance Reward
21,88.5,105.0,115.5,82.5,391.5,Distance Reward
22,103.5,100.5,105.0,87.0,396.0,Distance Reward
23,124.5,91.5,87.0,111.0,414.0,Distance Reward
24,90.0,84.0,93.0,106.5,373.5,Distance Reward
25,97.5,120.0,94.5,87.0,399.0,Distance Reward
26,109.5,81.0,102.0,94.5,387.0,Distance Reward
27,138.0,103.5,64.5,78.0,384.0,Distance Reward
28,126.0,103.5,91.5,87.0,408.0,Distance Reward
29,112.5,97.5,102.0,97.5,409.5,Distance Reward
30,99.0,102.0,94.5,124.5,420.0,Distance Reward
31,112.5,100.5,87.0,114.0,414.0,Distance Reward
32,124.5,100.5,85.5,103.5,414.0,Distance Reward
33,108.0,108.0,93.0,99.0,408.0,Distance Reward
34,154.5,97.5,75.0,76.5,403.5,Distance Reward
35,111.0,73.5,96.0,121.5,402.0,Distance Reward
36,124.5,106.5,93.0,94.5,418.5,Distance Reward
37,88.5,124.5,87.0,126.0,426.0,Distance Reward
38,118.5,90.0,117.0,105.0,430.5,Distance Reward
39,136.5,84.0,91.5,103.5,415.5,Distance Reward
40,108.0,90.0,105.0,114.0,417.0,Distance Reward
41,108.0,112.5,109.5,100.5,430.5,Distance Reward
42,97.5,105.0,112.5,105.0,420.0,Distance Reward
43,123.0,96.0,93.0,120.0,432.0,Distance Reward
44,109.5,100.5,126.0,97.5,433.5,Distance Reward
45,121.5,105.0,85.5,118.5,430.5,Distance Reward
46,109.5,124.5,93.0,100.5,427.5,Distance Reward
47,105.0,103.5,103.5,121.5,433.5,Distance Reward
48,103.5,114.0,108.0,84.0,409.5,Distance Reward
49,88.5,115.5,117.0,108.0,429.0,Distance Reward
50,79.5,121.5,124.5,91.5,417.0,Distance Reward
51,81.0,115.5,118.5,105.0,420.0,Distance Reward
52,100.5,105.0,108.0,94.5,408.0,Distance Reward
53,88.5,96.5,117.0,124.5,426.5,Distance Reward
54,108.0,106.5,106.5,102.0,423.0,Distance Reward
55,126.0,103.5,84.0,108.0,421.5,Distance Reward
56,103.5,127.5,100.5,103.5,435.0,Distance Reward
57,108.0,100.5,99.0,126.0,433.5,Distance Reward
58,108.0,96.0,94.5,120.0,418.5,Distance Reward
59,97.5,108.0,105.0,109.5,420.0,Distance Reward
60,90.0,118.5,97.5,108.0,414.0,Distance Reward
61,115.5,91.5,112.5,108.0,427.5,Distance Reward
62,111.0,112.5,88.5,109.5,421.5,Distance Reward
63,100.5,112.5,102.0,112.5,427.5,Distance Reward
64,121.5,100.5,112.5,91.5,426.0,Distance Reward
65,108.0,111.0,108.0,96.0,423.0,Distance Reward
66,96.0,109.5,91.5,108.0,405.0,Distance Reward
67,130.5,118.5,91.5,91.5,432.0,Distance Reward
68,103.5,127.5,102.0,88.5,421.5,Distance Reward
69,123.0,102.0,102.0,108.0,435.0,Distance Reward
70,106.5,103.5,117.0,108.0,435.0,Distance Reward
71,123.0,114.0,91.5,96.0,424.5,Distance Reward
72,102.0,117.0,108.0,106.5,433.5,Distance Reward
73,93.0,106.5,93.0,106.5,399.0,Distance Reward
74,112.5,99.0,109.5,105.0,426.0,Distance Reward
75,93.0,123.0,102.0,99.0,417.0,Distance Reward
76,106.5,106.5,109.5,97.5,420.0,Distance Reward
77,84.0,111.0,117.0,111.0,423.0,Distance Reward
78,82.5,132.0,109.5,103.5,427.5,Distance Reward
79,109.5,132.0,79.5,120.0,441.0,Distance Reward
80,79.5,72.0,69.0,78.0,298.5,Distance Reward
