episode_id,player_0,player_1,player_2,player_3,total_avg
1,34.0,28.0,31.0,27.5,120.5
2,63.0,31.5,36.0,51.0,181.5
3,57.0,58.5,66.0,66.0,247.5
4,36.5,64.0,78.0,58.5,237.0
5,76.5,52.5,84.0,69.0,282.0
6,78.0,79.5,73.5,66.0,297.0
7,84.0,66.0,61.5,69.0,280.5
8,85.5,67.5,79.5,93.0,325.5
9,81.0,85.5,75.0,85.5,327.0
10,85.5,67.5,79.5,75.0,307.5
11,82.5,102.0,75.0,94.5,354.0
12,100.5,72.0,82.5,112.5,367.5
13,85.5,93.0,88.5,97.5,364.5
14,87.0,79.5,99.0,90.0,355.5
15,94.0,77.0,69.5,90.0,330.5
16,103.5,70.5,88.5,85.5,348.0
17,98.0,65.5,94.5,108.0,366.0
18,87.0,90.0,84.0,103.5,364.5
19,91.5,90.0,97.5,103.5,382.5
20,111.0,105.0,78.0,99.0,393.0
21,88.5,105.0,115.5,82.5,391.5
22,103.5,100.5,105.0,87.0,396.0
23,124.5,91.5,87.0,111.0,414.0
24,90.0,84.0,93.0,106.5,373.5
25,97.5,120.0,94.5,87.0,399.0
26,109.5,81.0,102.0,94.5,387.0
27,138.0,103.5,64.5,78.0,384.0
28,126.0,103.5,91.5,87.0,408.0
29,112.5,97.5,102.0,97.5,409.5
30,99.0,102.0,94.5,124.5,420.0
31,112.5,100.5,87.0,114.0,414.0
32,124.5,100.5,85.5,103.5,414.0
33,108.0,108.0,93.0,99.0,408.0
34,154.5,97.5,75.0,76.5,403.5
35,111.0,73.5,96.0,121.5,402.0
36,124.5,106.5,93.0,94.5,418.5
37,88.5,124.5,87.0,126.0,426.0
38,118.5,90.0,117.0,105.0,430.5
39,136.5,84.0,91.5,103.5,415.5
40,108.0,90.0,105.0,114.0,417.0
41,108.0,112.5,109.5,100.5,430.5
42,97.5,105.0,112.5,105.0,420.0
43,123.0,96.0,93.0,120.0,432.0
44,109.5,100.5,126.0,97.5,433.5
45,121.5,105.0,85.5,118.5,430.5
46,109.5,124.5,93.0,100.5,427.5
47,105.0,103.5,103.5,121.5,433.5
48,103.5,114.0,108.0,84.0,409.5
49,88.5,115.5,117.0,108.0,429.0
50,79.5,121.5,124.5,91.5,417.0
51,81.0,115.5,118.5,105.0,420.0
52,100.5,105.0,108.0,94.5,408.0
53,88.5,96.5,117.0,124.5,426.5
54,108.0,106.5,106.5,102.0,423.0
55,126.0,103.5,84.0,108.0,421.5
56,103.5,127.5,100.5,103.5,435.0
57,108.0,100.5,99.0,126.0,433.5
58,108.0,96.0,94.5,120.0,418.5
59,97.5,108.0,105.0,109.5,420.0
60,90.0,118.5,97.5,108.0,414.0
61,115.5,91.5,112.5,108.0,427.5
62,111.0,112.5,88.5,109.5,421.5
63,100.5,112.5,102.0,112.5,427.5
64,121.5,100.5,112.5,91.5,426.0
65,108.0,111.0,108.0,96.0,423.0
66,96.0,109.5,91.5,108.0,405.0
67,130.5,118.5,91.5,91.5,432.0
68,103.5,127.5,102.0,88.5,421.5
69,123.0,102.0,102.0,108.0,435.0
70,106.5,103.5,117.0,108.0,435.0
71,123.0,114.0,91.5,96.0,424.5
72,102.0,117.0,108.0,106.5,433.5
73,93.0,106.5,93.0,106.5,399.0
74,112.5,99.0,109.5,105.0,426.0
75,93.0,123.0,102.0,99.0,417.0
76,106.5,106.5,109.5,97.5,420.0
77,84.0,111.0,117.0,111.0,423.0
78,82.5,132.0,109.5,103.5,427.5
79,109.5,132.0,79.5,120.0,441.0
80,79.5,72.0,69.0,78.0,298.5
