episode_id,player_0_ball_reward,player_1_ball_reward,player_2_ball_reward,player_3_ball_reward,total_ball_reward
144,56.0,48.0,33.0,75.0,212.0
145,40.0,42.0,48.0,90.0,220.0
146,63.0,42.0,69.0,72.0,246.0
147,72.0,48.0,81.0,70.0,271.0
148,75.0,48.0,69.0,39.0,231.0
149,75.0,57.0,45.0,59.0,236.0
150,93.0,39.0,38.0,55.0,225.0
151,63.0,69.0,39.0,63.0,234.0
152,45.0,102.0,48.0,46.0,241.0
153,51.0,85.0,53.0,58.0,247.0
154,39.0,71.0,72.0,42.0,224.0
155,63.0,54.0,42.0,57.0,216.0
156,63.0,66.0,57.0,75.0,261.0
157,51.0,49.0,90.0,54.0,244.0
158,46.0,69.0,69.0,51.0,235.0
159,59.0,75.0,96.0,52.0,282.0
160,30.0,26.0,30.0,28.0,114.0
