episode_id,total_score,total_sem,p0_total,p1_total,p2_total,p3_total
1,81.76249999999995,22.404141869678174,19.687499999999982,14.362499999999983,36.64999999999999,11.062499999999995
2,214.86249999999993,61.17934147174738,42.43749999999997,48.44999999999999,61.16249999999998,62.8125
3,386.83749999999986,57.10316459050233,109.18749999999997,141.24999999999997,64.34999999999998,72.04999999999998
4,378.33749999999986,47.3194964003563,39.23749999999998,111.62499999999997,124.88749999999999,102.58749999999998
5,598.8,42.14316373980479,153.53749999999997,156.7625,102.6625,185.8375
6,502.56249999999994,46.83459536407533,172.58749999999998,124.32499999999999,129.825,75.82499999999999
7,552.3624999999998,23.139768932510975,133.79999999999995,141.24999999999997,193.92499999999995,83.38749999999999
8,488.3749999999999,61.37752880058521,88.5,116.59999999999998,124.76249999999996,158.5125
9,520.3374999999999,22.7905259464688,92.97499999999998,120.18749999999997,179.45,127.72499999999998
10,324.7999999999999,43.32969055201445,55.71249999999998,35.574999999999974,199.11249999999993,34.39999999999998
11,339.86249999999995,24.549434608221304,68.77499999999999,120.525,76.09999999999998,74.46249999999998
12,340.8749999999999,39.64131630424666,54.86249999999997,96.39999999999996,118.53749999999997,71.07499999999997
13,361.44999999999993,47.12010363599243,69.93749999999999,93.65,136.64999999999998,61.21249999999999
14,352.63749999999993,35.28594134000111,91.86249999999998,128.2625,56.7625,75.75
15,335.56249999999994,49.79540798356813,93.19999999999997,166.6,15.19999999999998,60.562499999999986
16,247.2374999999999,21.226294375530223,90.59999999999998,6.4374999999999964,121.07499999999996,29.12499999999998
17,285.9124999999999,19.90044361942717,117.48749999999998,62.93749999999997,115.05,-9.562500000000018
18,316.82499999999993,30.38969466228096,93.54999999999998,161.875,36.687499999999986,24.71249999999997
19,204.87499999999994,32.82576160578761,-12.487500000000015,38.71249999999999,34.79999999999999,143.85
20,92.92499999999995,41.98216139028575,8.61249999999999,-8.212500000000007,8.36249999999999,84.16249999999997
21,15.562499999999932,38.17550684557661,21.862499999999983,-15.425000000000011,43.937499999999986,-34.81250000000003
22,90.61249999999993,7.730253742062203,28.762499999999978,52.437499999999986,-25.97500000000001,35.387499999999974
23,74.81249999999994,18.548824929089168,20.062499999999986,16.362499999999983,-8.925000000000011,47.31249999999998
24,70.37499999999994,15.834304794759175,50.96249999999999,15.249999999999986,14.149999999999984,-9.987500000000018
25,152.41249999999994,26.091564529236898,58.41249999999998,41.91249999999998,56.124999999999986,-4.03750000000002
26,171.63749999999993,34.51013362646785,31.937499999999986,64.76249999999999,39.51249999999999,35.42499999999998
27,120.57499999999995,44.318814195177495,47.04999999999998,18.437499999999986,30.699999999999992,24.387499999999992
28,149.61249999999995,23.444156832424866,57.89999999999999,18.94999999999998,38.48749999999998,34.274999999999984
29,155.33749999999998,30.80596786744413,50.874999999999986,50.26249999999999,31.96249999999999,22.23749999999999
30,118.14999999999993,12.147153301631349,52.51249999999999,40.387499999999974,11.87499999999999,13.374999999999986
31,112.34999999999991,28.54765752211554,-0.8625000000000185,29.024999999999984,39.08749999999998,45.09999999999998
32,181.76249999999993,24.459672379585683,67.98749999999997,45.71249999999998,30.837499999999984,37.22499999999998
33,209.42499999999993,43.4607126226281,75.73749999999998,49.48749999999998,55.974999999999994,28.224999999999994
34,201.88749999999993,5.053397165933701,64.475,32.36249999999998,19.324999999999996,85.72500000000001
35,215.03749999999997,59.19006242253282,50.474999999999994,75.22499999999998,14.487499999999983,74.84999999999998
36,179.44999999999993,15.439424643856809,10.637499999999985,84.01249999999999,112.32499999999999,-27.52500000000002
37,255.41249999999994,43.40731685154013,31.72499999999998,103.01249999999997,28.574999999999996,92.09999999999998
38,146.11249999999993,9.762820097185044,11.224999999999984,73.21249999999999,28.32499999999998,33.34999999999999
39,191.87499999999994,42.15527596477892,14.725000000000001,96.725,5.449999999999983,74.97499999999998
40,214.6624999999999,40.670215222567975,49.974999999999994,88.36249999999998,58.34999999999998,17.974999999999984
41,209.6624999999999,20.577226236384078,29.22499999999998,102.57499999999999,22.01249999999997,55.84999999999997
42,187.46249999999992,39.46791088445566,51.599999999999994,69.82499999999999,32.18749999999998,33.84999999999999
43,255.18749999999994,42.81563370526393,73.6,49.84999999999999,44.512499999999974,87.22499999999998
44,235.18749999999994,27.361822361031916,82.475,90.69999999999999,15.912499999999978,46.09999999999998
45,155.59999999999994,19.11989583304956,62.47499999999998,73.29999999999998,-12.65000000000002,32.47499999999998
46,172.38749999999996,11.663303830819116,86.49999999999999,41.324999999999996,8.212499999999984,36.34999999999998
47,205.5374999999999,21.661499784564004,94.86249999999998,63.86249999999999,-36.93750000000002,83.74999999999997
48,205.91249999999994,51.28721565442341,37.599999999999994,78.09999999999998,75.11249999999998,15.099999999999989
49,174.31249999999994,31.890191641265915,37.84999999999999,47.07499999999998,19.037499999999977,70.34999999999998
50,232.99999999999994,21.08916585990699,93.6,55.94999999999999,6.574999999999974,76.87499999999999
51,163.51249999999993,32.06349413663458,70.92499999999998,19.19999999999999,31.637499999999985,41.74999999999998
52,182.63749999999993,10.777433503235684,79.36249999999998,19.987499999999983,18.39999999999999,64.88749999999997
53,109.96249999999995,30.6451081944574,58.974999999999994,-7.850000000000021,20.93749999999999,37.89999999999998
54,40.21249999999996,12.263961007086312,-35.11250000000001,-35.312500000000014,-10.337500000000006,120.975
55,107.22499999999994,45.80805287646849,26.737499999999986,5.237499999999976,5.1124999999999865,70.13749999999999
56,148.48749999999995,25.057395573296663,19.224999999999984,20.774999999999984,14.737499999999988,93.75
57,236.82499999999993,23.17571016531459,14.11249999999998,35.824999999999974,96.14999999999998,90.73749999999998
58,191.64999999999995,19.145832879941963,40.84999999999997,17.849999999999987,56.974999999999994,75.97499999999998
59,221.99999999999994,39.129720162556744,73.09999999999998,46.94999999999999,57.962499999999984,43.98749999999998
60,231.72499999999994,33.99932903749719,85.1,43.44999999999999,9.949999999999989,93.225
61,208.73749999999998,21.467372287186585,43.599999999999994,77.94999999999999,23.83749999999999,63.34999999999999
62,166.88749999999996,23.177201216928683,29.612499999999994,65.94999999999999,24.099999999999987,47.22499999999998
63,163.36249999999993,50.04021455706066,91.84999999999998,-0.3000000000000167,23.587499999999984,48.22499999999999
64,219.68749999999991,23.83063832373498,48.09999999999999,64.73749999999998,42.99999999999998,63.84999999999998
65,184.52499999999992,33.08745041552765,60.72499999999998,16.712499999999974,78.975,28.112499999999976
66,248.76249999999993,19.29781264591058,43.09999999999999,72.94999999999999,72.48749999999998,60.224999999999966
67,159.71249999999992,13.743291924304975,20.487499999999983,-9.875000000000025,64.62499999999999,84.475
68,185.08749999999992,25.816236614128456,103.11249999999998,23.48749999999998,14.862499999999972,43.624999999999986
69,242.81249999999994,23.518205492412342,106.87499999999997,73.52499999999998,19.537499999999984,42.874999999999986
70,193.02499999999992,30.83348085550294,46.42499999999998,73.26249999999999,15.562499999999993,57.77499999999998
71,165.97499999999994,31.862736202864518,15.23749999999998,58.099999999999994,26.524999999999984,66.11249999999998
