episode_id,total_score,total_sem,ball_score,ball_sem,p0_total,p0_ball,p1_total,p1_ball,p2_total,p2_ball,p3_total,p3_ball
1,73.50000000000001,8.30555235971696,108.75,13.117259622344905,19.995000000000005,29.5,13.140000000000008,21.75,19.76,28.0,20.605000000000004,29.5
2,146.04000000000005,15.180678509210317,164.0,17.073371078963874,23.495000000000005,25.25,22.195000000000014,37.25,64.57000000000001,59.0,35.78,42.5
3,284.36,22.51684258505174,289.75,22.92878467487247,62.45000000000002,63.25,66.555,80.0,67.14000000000001,59.75,88.21500000000002,86.75
4,319.73500000000007,22.141004757387723,326.5,23.128265535198842,48.08000000000001,64.0,59.13000000000002,41.5,105.42000000000002,96.5,107.10500000000002,124.5
5,659.1499999999999,37.09243004531605,660.75,37.41072707125591,133.63000000000002,156.0,134.8,159.5,212.07999999999996,180.5,178.64,164.75
6,654.48,42.02136837372148,659.0,39.287402561126385,152.195,180.5,194.57999999999998,172.75,137.685,149.0,170.02,156.75
7,818.2249999999999,16.956586478415982,818.25,17.702989389742438,231.45,194.5,180.60999999999999,187.5,167.39499999999998,197.0,238.77000000000004,239.25
8,815.3850000000001,24.817589696288678,813.0,27.26108337294515,181.995,175.25,150.745,140.25,223.415,245.25,259.23,252.25
9,810.28,33.899804325885604,809.5,33.87353932890194,133.45499999999998,171.75,240.53500000000003,222.5,216.765,205.0,219.52500000000003,210.25
10,828.5749999999999,15.7743343758144,830.5,15.521490478258416,200.14999999999998,191.0,182.195,189.25,221.16,212.0,225.07000000000002,238.25
11,905.415,19.02170054613064,902.25,19.876179210300958,190.30999999999995,170.0,224.14999999999998,222.5,199.29500000000002,205.0,291.66,304.75
12,884.925,7.064240346043392,886.5,6.701989754294367,204.485,210.25,264.495,227.75,207.55999999999997,220.75,208.38499999999996,227.75
13,931.7699999999999,8.922146602696037,933.75,9.204844738868042,235.47,248.75,276.49,252.25,194.86499999999995,212.0,224.945,220.75
14,931.86,10.778673387759772,933.75,10.451275839181868,216.89,210.25,250.29500000000002,243.5,242.695,243.5,221.98000000000002,236.5
15,967.31,17.954114663032865,968.75,17.470808987183926,210.23499999999999,217.25,254.87500000000003,233.0,275.13,290.75,227.07,227.75
16,945.4650000000001,13.849118804698978,942.5,12.938959257477652,231.89,245.25,219.67,241.75,225.20499999999998,217.25,268.7,238.25
17,953.93,12.8495979184824,954.75,11.205467415507485,228.06999999999996,227.75,241.35000000000002,234.75,257.725,261.0,226.785,231.25
18,929.3000000000001,19.985594812264143,930.25,19.25,193.84,189.5,224.15,204.75,240.72,257.5,270.59000000000003,278.5
19,956.715,14.069540089616789,958.25,14.108951059522463,249.85500000000002,245.25,222.62,233.0,227.135,240.0,257.105,240.0
20,935.2149999999999,23.726195614411786,935.5,23.994791101403653,253.01999999999998,243.5,223.365,213.75,251.89999999999998,252.25,206.93,226.0
21,970.755,10.827687888002664,972.25,10.834935778920581,234.10999999999999,229.5,276.63,264.5,217.1,222.5,242.915,255.75
22,982.65,4.467366860541726,984.5,4.51848057057532,238.95999999999998,229.5,238.96,247.0,224.385,234.75,280.34499999999997,273.25
23,937.645,7.960127197476172,939.0,8.573214099741124,235.315,226.0,190.82,210.25,257.565,238.25,253.945,264.5
24,966.8499999999999,10.642222512238718,967.0,11.067971810589327,172.925,187.5,268.54999999999995,259.25,273.59000000000003,259.25,251.785,261.0
25,960.3649999999999,12.280899464887138,958.25,10.05298463144155,204.70499999999998,233.0,259.03499999999997,261.0,245.595,240.0,251.03,224.25
26,985.525,10.005083291340755,979.25,8.270177345942065,229.295,240.0,262.1,254.0,230.63,240.0,263.5,245.25
27,981.6099999999999,4.486501978156246,981.0,2.857738033247041,258.09000000000003,236.5,233.67499999999998,238.25,264.005,269.75,225.84,236.5
28,962.5699999999999,11.848500608375149,954.75,12.578917547494564,269.855,229.5,194.83999999999997,229.5,225.19,234.75,272.685,261.0
29,960.9300000000001,15.366097964892269,958.25,14.108951059522463,232.3,229.5,232.345,238.25,223.83499999999998,234.75,272.45000000000005,255.75
30,957.375,11.257327613603525,953.0,9.899494936611665,277.36,238.25,212.415,220.75,226.48,234.75,241.12,259.25
31,970.0149999999999,12.560298231597313,970.5,13.250786140200638,225.56,213.75,230.40000000000003,222.5,269.25,266.25,244.80499999999998,268.0
32,977.185,14.413221650045264,974.0,14.849242404917497,254.225,240.0,268.89,243.5,222.035,245.25,232.03500000000003,245.25
33,981.985,8.212800476491946,977.5,10.103629710818451,256.68,248.75,238.69,220.75,262.53,247.0,224.08500000000004,261.0
34,969.96,7.300826437237552,967.0,10.303721010715822,277.02,280.25,196.84999999999997,236.5,273.69500000000005,238.25,222.39499999999998,212.0
35,951.0199999999999,7.3764535290793525,946.0,9.47804480540862,237.98999999999998,219.0,225.63,227.75,217.05,224.25,270.34999999999997,275.0
36,987.7,12.54623715169878,982.75,12.25,256.055,220.75,240.725,259.25,239.14000000000004,257.5,251.78,245.25
37,996.435,8.139411833787504,991.5,8.331666499966659,257.775,240.0,228.27,241.75,273.14,254.0,237.25,255.75
38,967.685,9.223319630154878,956.5,6.701989754294367,279.54499999999996,241.75,255.75,241.75,181.11499999999995,238.25,251.275,234.75
39,967.335,13.683657832124647,960.0,14.288690166235206,236.485,213.75,232.21,247.0,222.505,217.25,276.135,282.0
40,976.9899999999999,3.1661806644599495,967.0,4.949747468305833,222.01999999999998,206.75,182.055,224.25,246.29,252.25,326.625,283.75
41,976.645,17.100577719285766,970.5,16.2916133843971,223.49499999999998,229.5,201.4,213.75,276.375,261.0,275.375,266.25
42,979.76,10.154043529550206,972.25,11.912003749719581,206.25999999999996,226.0,318.74,243.5,239.6,250.5,215.16,252.25
43,956.46,11.620031554747742,953.0,12.12435565298214,219.995,203.25,223.68,247.0,279.31500000000005,257.5,233.47,245.25
44,956.97,16.194493920259834,954.75,16.99693599838904,197.78,182.25,264.79499999999996,250.5,242.44,255.75,251.955,266.25
45,949.51,18.410226324880764,937.25,17.470808987183926,267.34000000000003,241.75,223.275,201.5,230.08499999999998,255.75,228.81,238.25
46,965.215,10.805595386958942,954.75,10.05298463144155,248.445,224.25,244.09500000000003,248.75,250.51499999999996,231.25,222.16000000000003,250.5
