episode_id,total_score,total_sem,p0_total,p1_total,p2_total,p3_total
1,200.0499999999999,49.40342852474916,23.774999999999977,101.54999999999998,20.07499999999998,54.64999999999997
2,192.07499999999993,24.739917980192796,-3.3125000000000213,107.23749999999998,33.33749999999998,54.81249999999998
3,230.94999999999993,57.698194656909905,46.812499999999986,112.71249999999998,51.84999999999999,19.57499999999998
4,303.99999999999994,80.51650710672106,101.48749999999998,87.8,33.53749999999997,81.17499999999998
5,338.5999999999999,44.24266888423435,113.14999999999998,51.574999999999996,103.35,70.52499999999995
6,380.5624999999999,61.89061040456782,76.46249999999998,77.97499999999997,34.97499999999998,191.14999999999998
7,335.62499999999994,81.54927319316424,8.687499999999975,167.3375,70.96249999999998,88.63749999999999
8,484.2249999999999,59.06900801887004,130.2,171.24999999999997,53.97499999999997,128.79999999999998
9,572.1624999999999,67.90266432855681,82.74999999999999,119.87499999999997,213.79999999999998,155.73749999999998
10,589.9999999999999,28.454005283380845,146.35,140.6375,210.48749999999995,92.52499999999998
11,649.1125,72.83914462418775,162.625,102.34999999999998,215.475,168.6625
12,658.2749999999999,29.502658778489774,217.1875,216.42499999999998,161.52499999999998,63.13749999999998
13,562.8124999999998,52.098493960158436,225.98749999999995,124.8375,110.82499999999996,101.16249999999997
14,456.74999999999994,71.4641139547209,27.937499999999982,213.67499999999995,119.55,95.5875
15,354.9374999999999,23.310864553894177,57.33749999999998,79.78749999999998,170.78749999999997,47.02499999999998
16,338.18749999999994,20.818805351172287,59.55,89.76249999999997,101.52499999999998,87.34999999999998
17,356.0875,43.5274787490615,106.64999999999998,88.57499999999997,89.225,71.6375
18,346.5,55.08323247595405,25.087499999999995,97.44999999999999,129.12499999999997,94.83749999999999
19,332.98749999999995,40.07581032139795,91.47499999999995,91.89999999999998,27.69999999999999,121.9125
20,307.8374999999999,53.45150206417653,73.02499999999999,66.86249999999998,50.57499999999996,117.37499999999997
21,297.2499999999999,51.19747308217468,151.57499999999996,22.849999999999987,67.54999999999998,55.274999999999984
22,194.2374999999999,14.390236490412509,119.81249999999997,-10.662500000000016,87.56249999999997,-2.475000000000012
23,161.29999999999995,24.643263109147437,111.5875,49.962499999999984,-59.475,59.22499999999997
24,217.6624999999999,53.23926486078358,64.76249999999996,48.98749999999998,80.18749999999999,23.724999999999984
25,208.23749999999993,61.46374397087007,79.1,-25.500000000000018,72.71249999999999,81.925
26,258.01249999999993,16.87659097438419,24.587499999999977,74.4125,87.29999999999997,71.71249999999998
27,190.83749999999998,34.30019664059281,28.937499999999993,63.7,60.42499999999999,37.774999999999984
28,90.13749999999993,39.668855200480195,114.91249999999998,27.78749999999999,14.324999999999983,-66.88750000000002
29,171.02499999999995,27.628657374786314,123.02499999999999,40.07499999999999,-75.57500000000002,83.49999999999999
30,126.56249999999991,28.878873297216185,86.23749999999998,44.73749999999997,-36.6375,32.22499999999998
31,102.44999999999993,7.62266357646721,34.562499999999986,22.537499999999984,14.287499999999982,31.06249999999998
32,117.74999999999994,18.582025365031296,16.26249999999999,46.21249999999999,30.98749999999999,24.28749999999999
33,201.58749999999995,22.273203023289362,56.13749999999998,99.975,23.362499999999983,22.112499999999994
34,243.47499999999994,24.667374708306514,97.725,57.37499999999997,50.08749999999999,38.28749999999998
35,230.34999999999997,42.95561177929297,69.625,63.86249999999999,26.937499999999993,69.92499999999998
36,202.69999999999993,19.45617939541746,41.187499999999986,50.537499999999994,51.19999999999999,59.774999999999984
37,217.26249999999993,51.75875680742341,22.03749999999998,91.7875,14.174999999999985,89.26249999999999
38,383.43749999999994,79.91196816653937,92.49999999999999,67.14999999999999,101.275,122.51249999999997
39,343.0999999999999,42.193468096377195,83.74999999999999,97.09999999999998,24.01249999999998,138.23749999999998
40,219.11249999999995,39.779770691269704,91.875,79.88749999999997,8.774999999999993,38.57499999999999
41,549.8,89.40254703679682,55.82499999999999,190.56249999999997,184.2625,119.14999999999998
42,500.67499999999984,91.58245260419706,104.12499999999997,56.79999999999998,140.54999999999995,199.19999999999993
43,468.4874999999999,49.0636931914357,149.42499999999998,178.14999999999995,15.249999999999982,125.66249999999997
44,509.2125,25.522362539219092,129.11249999999998,172.74999999999994,120.43749999999999,86.91249999999998
45,642.2375,61.85785242190355,122.39999999999998,191.61249999999995,211.98749999999998,116.23749999999998
46,590.0999999999999,27.97927060045223,63.2375,192.78749999999994,181.6875,152.3875
47,646.7874999999999,73.94832197498917,102.725,221.17499999999995,169.53749999999997,153.35
48,464.8499999999999,64.34326240304159,77.88749999999999,133.83749999999998,129.08749999999998,124.03749999999997
49,535.7874999999999,55.122690333322225,100.89999999999999,188.36249999999998,164.775,81.74999999999997
50,572.5999999999999,45.370975487272275,98.03749999999998,129.27499999999998,164.21249999999998,181.075
51,544.8,42.63420477347579,165.67499999999998,183.45,122.44999999999996,73.22499999999998
52,722.2874999999999,47.57401853515565,133.48749999999998,191.5875,165.67499999999998,231.53749999999997
53,504.78749999999997,28.83088892576848,146.05,141.6375,95.52499999999998,121.57499999999999
54,458.01249999999993,91.5673713152416,143.16250000000002,222.13749999999996,19.762499999999974,72.94999999999997
55,235.79999999999995,54.07173861331507,64.33749999999999,122.83749999999998,28.88749999999998,19.737499999999986
56,390.15,39.672760386273424,154.1375,91.57499999999999,50.67499999999999,93.76249999999999
57,454.2125,102.26523394055609,112.25,142.075,108.29999999999998,91.58749999999998
58,523.0124999999998,49.152790591345514,186.26249999999996,174.225,74.71249999999998,87.81249999999997
59,577.3999999999999,52.14528182555604,196.25,126.41249999999997,138.39999999999998,116.33749999999998
60,504.3499999999999,90.0980785033732,125.88749999999997,122.82499999999997,129.77499999999998,125.8625
61,542.7874999999999,78.08294568117932,189.77499999999998,131.08749999999998,116.78749999999997,105.13750000000002
62,555.1374999999999,25.38782824340568,170.8875,204.83749999999995,123.23749999999998,56.17499999999998
63,549.125,43.40490323684639,186.8625,193.51250000000002,122.0375,46.712499999999984
64,470.7,72.17638406478024,88.38749999999999,146.95,118.14999999999998,117.21249999999999
65,418.15,66.76735417352805,118.87499999999999,113.08749999999998,132.6375,53.54999999999998
66,400.2374999999999,15.408457837066866,116.76249999999997,144.2,83.925,55.34999999999998
67,381.1874999999999,88.94514080553624,141.72499999999997,83.85,56.57499999999998,99.0375
68,265.54999999999995,31.230300457515074,76.48749999999998,62.84999999999999,87.31249999999999,38.899999999999984
69,409.48749999999995,62.79876383801941,121.12499999999997,170.175,83.22499999999998,34.96249999999999
70,234.37499999999994,70.82254378609493,9.67499999999998,66.73749999999998,98.06249999999997,59.89999999999999
71,334.63749999999993,65.57737279669465,57.07499999999999,105.93749999999999,165.21249999999998,6.412499999999984
72,461.4625,57.46370729643189,101.27499999999998,165.6,113.43749999999997,81.14999999999998
73,450.57499999999993,58.919823701365544,115.14999999999998,169.98749999999995,141.33749999999998,24.099999999999987
74,321.42499999999995,28.789527175693593,134.0125,102.46249999999998,89.27499999999998,-4.325000000000019
75,591.2125,37.38734954834323,79.38749999999999,227.43749999999997,193.89999999999998,90.48749999999998
76,648.8625,29.631468175741777,137.0125,219.77499999999998,169.775,122.3
77,397.1249999999999,131.17895934562065,78.99999999999999,73.19999999999997,131.37499999999997,113.54999999999995
78,468.48749999999995,25.67984273543485,85.63749999999997,59.42499999999998,259.7875,63.63749999999999
79,550.75,58.71605757087807,52.86249999999999,104.79999999999998,312.59999999999997,80.4875
80,512.65,30.362058285520305,162.93749999999994,68.31249999999997,215.17499999999998,66.225
81,460.99999999999994,68.22579241020219,94.52499999999999,144.68749999999997,113.32499999999999,108.46249999999998
82,538.5374999999999,15.865362888485514,130.18749999999997,100.12499999999999,177.8125,130.4125
83,459.56249999999994,24.060283447693077,87.19999999999999,78.11249999999998,196.7,97.54999999999998
84,541.1499999999999,96.61115575681032,107.17499999999998,172.47499999999997,236.45,25.049999999999997
85,349.3124999999999,40.676530779431026,57.14999999999998,130.89999999999998,99.07499999999999,62.187499999999986
86,216.22499999999994,71.89369032351398,45.562499999999986,79.51249999999999,63.212499999999984,27.93749999999997
87,345.47499999999997,80.44645346440078,132.81249999999997,64.38749999999999,79.04999999999998,69.22499999999998
88,374.66249999999997,83.33382260273038,110.5375,113.27499999999999,60.137499999999974,90.71249999999998
89,569.9999999999999,83.28016220365248,161.92499999999998,98.0375,183.02499999999998,127.01249999999999
90,496.5625,94.96970432502847,74.66249999999998,124.975,239.03749999999997,57.887499999999996
91,592.9999999999999,108.91507586188425,156.5625,119.43749999999999,194.33749999999998,122.6625
