episode_id,total_score,total_score_sem,attack,attack_sem,bear_damage,bear_damage_sem,cause_damage_to_enemy,cause_damage_to_enemy_sem,wall_collision,wall_collision_sem,kill_enemy,kill_enemy_sem,died,died_sem
1,-10.512500000000012,34.84233162285018,87.75,0.47871355387816905,36.0,2.6770630673681683,30.75,0.6291528696058958,30.75,3.5443617196894563,14.75,0.25,3.5,0.28867513459481287
2,72.38749999999999,36.85834581543236,92.25,1.3149778198382918,26.5,5.251983752196243,29.0,2.48327740429189,46.5,10.283481900601567,14.0,1.224744871391589,2.25,0.47871355387816905
3,202.7,106.21693014769352,93.5,1.5545631755148024,28.75,1.9311050377094112,39.5,5.737304826019502,12.75,4.02854398842394,19.0,3.24037034920393,2.75,0.25
4,114.02499999999998,41.49109091118237,94.5,2.0615528128088303,24.0,2.798809270624444,28.75,3.966001344763598,24.5,7.239935542991157,14.0,2.041241452319315,1.75,0.25
5,186.45,35.862428110767965,101.0,0.7071067811865476,18.75,1.9311050377094112,29.5,2.5,8.5,1.848422751068236,14.5,1.3228756555322954,1.75,0.25
6,125.47499999999997,27.21317465860975,95.5,1.6583123951777,22.75,2.462214450449026,28.75,2.4958298553119898,19.0,11.090536506409418,14.0,1.4719601443879744,2.0,0.408248290463863
7,105.88749999999997,17.15556730578541,89.75,2.6575364531836625,29.75,4.2106016988865935,32.5,2.7233557730613653,12.25,6.523994175349944,16.0,1.4142135623730951,2.5,0.5
8,190.7625,39.24671098215322,97.25,1.3149778198382918,21.5,3.5237290853109955,31.25,3.816084380618437,5.25,2.174664725116648,15.5,1.848422751068236,1.5,0.28867513459481287
9,149.0875,25.959161637400136,98.25,1.7017148213885114,29.75,2.780137886268713,35.5,2.0207259421636903,1.5,0.5,17.5,0.9574271077563381,2.75,0.25
10,217.2,48.365875539130556,91.0,1.7795130420052185,22.0,1.4719601443879744,33.5,2.8722813232690143,2.0,0.7071067811865476,16.75,1.4361406616345072,1.75,0.25
11,108.475,16.95256249066789,105.5,0.8660254037844386,15.25,2.5617376914898995,21.25,3.25,21.5,4.291464396527911,10.5,1.707825127659933,1.25,0.25
12,196.17499999999995,38.47381414676741,101.5,1.4433756729740645,18.5,2.7233557730613653,29.5,4.9916597106239795,8.5,2.7233557730613653,14.75,2.4958298553119898,1.5,0.28867513459481287
13,354.9625,44.84715419715429,93.25,0.47871355387816905,22.75,1.9311050377094112,44.5,3.304037933599835,19.25,9.638248457750679,22.25,1.6520189667999174,1.75,0.25
14,373.7375,25.28462456876379,97.75,0.8539125638299665,28.5,2.958039891549808,50.0,3.1622776601683795,5.25,1.75,25.0,1.5811388300841898,2.25,0.25
15,514.5375,24.397065866957593,99.25,0.25,23.75,2.839454172900137,56.75,2.212653007891959,4.0,1.7320508075688772,28.25,1.0307764064044151,2.25,0.25
16,467.7625,98.24690278197069,99.75,0.8539125638299665,24.75,3.2242570203588508,53.75,5.1700257897487,1.0,0.408248290463863,26.75,2.6259918760981216,2.0,0.408248290463863
17,503.125,24.923537235579804,100.0,0.408248290463863,28.5,1.3228756555322954,59.75,0.6291528696058958,1.25,0.25,29.5,0.5,2.5,0.28867513459481287
18,520.875,54.040264695256006,97.5,1.3228756555322954,30.25,4.3084219849035215,62.25,2.0966242709015206,1.5,0.8660254037844386,30.5,1.0408329997330663,2.25,0.47871355387816905
19,463.2875,45.773206204612755,89.25,1.9311050377094112,33.75,2.174664725116648,61.5,1.5545631755148024,0.0,0.0,30.25,0.75,3.25,0.25
20,602.3,29.70460822835411,89.0,0.7071067811865476,28.0,1.4719601443879744,66.0,1.4719601443879744,0.0,0.0,32.75,0.6291528696058958,2.25,0.25
21,643.65,37.068590702462195,89.5,1.3228756555322954,24.0,2.273030282830976,66.25,3.092329219213245,0.75,0.25,32.75,1.6007810593582121,2.25,0.25
22,585.3,10.404706467107404,91.5,2.4664414311581235,28.0,0.0,64.75,0.75,2.75,1.4361406616345072,32.0,0.408248290463863,2.0,0.0
23,591.0999999999999,73.50681657733068,85.5,2.661453237111885,22.75,3.3509948771471834,60.75,4.230346715499018,6.75,2.1360009363293826,30.25,2.1360009363293826,1.5,0.28867513459481287
24,634.25,66.60958076733407,82.5,1.5545631755148024,25.5,2.533114025595111,66.5,3.278719262151,1.25,0.47871355387816905,32.75,1.6520189667999174,2.0,0.408248290463863
25,695.9875,64.81384039115413,87.75,2.6259918760981216,27.75,2.5940637360455634,72.75,3.3008837200563934,2.75,1.6007810593582121,36.25,1.6520189667999174,2.5,0.28867513459481287
26,749.0,35.42022139023601,90.0,1.8708286933869707,25.75,0.8539125638299665,74.75,2.75,0.5,0.5,37.0,1.4719601443879744,2.0,0.0
27,725.5125,6.7454730189957965,92.25,2.358495283014151,24.75,2.839454172900137,72.5,2.179449471770337,0.25,0.25,36.0,1.0,2.25,0.25
28,741.2625,42.27234800966233,92.25,1.181453906563152,27.0,1.7795130420052185,75.0,3.1091263510296048,0.75,0.75,37.5,1.5545631755148024,2.25,0.25
