episode_id,total_score,total_score_sem,attack,attack_sem,bear_damage,bear_damage_sem,cause_damage_to_enemy,cause_damage_to_enemy_sem,wall_collision,wall_collision_sem,kill_enemy,kill_enemy_sem,died,died_sem
1,44.374999999999986,48.101998832342375,85.0,1.7320508075688772,32.25,3.75,31.0,2.5495097567963922,28.75,1.796988221070652,15.25,1.25,3.0,0.408248290463863
2,121.22499999999998,42.737793091517176,95.5,0.9574271077563381,29.25,5.02286438863988,34.25,3.092329219213245,29.0,3.415650255319866,16.75,1.6007810593582121,2.75,0.47871355387816905
3,147.225,45.31121320011932,98.0,1.0801234497346435,32.75,1.0307764064044151,38.25,2.7195281453467866,11.25,1.1086778913041726,18.75,1.181453906563152,3.0,0.0
4,61.0625,49.127514248636686,98.75,1.3149778198382918,42.0,4.262237284181474,40.0,2.1213203435596424,7.0,1.6832508230603465,19.25,0.8539125638299665,4.0,0.408248290463863
5,56.0625,12.674537713463158,98.75,0.9464847243000456,23.75,5.543389456520863,26.5,4.349329450233296,85.5,30.70423423568808,13.0,2.1213203435596424,1.75,0.6291528696058958
6,149.98749999999998,33.05184295794513,105.25,0.75,33.25,1.6520189667999174,39.0,2.345207879911715,12.5,2.8431203515386634,19.0,1.224744871391589,3.0,0.0
7,123.95,24.409048868537806,98.5,1.8929694486000912,27.5,4.73462423711393,33.25,3.79418414594407,38.25,9.231964399122576,16.0,1.8708286933869707,2.25,0.47871355387816905
8,265.3625,25.203888382218583,100.25,1.8874586088176875,27.75,2.868652413009751,42.5,3.095695936834452,19.75,5.93541630104129,21.0,1.7795130420052185,2.25,0.25
9,345.2375,38.559053060424944,105.25,0.47871355387816905,33.0,1.5811388300841898,52.0,3.24037034920393,5.5,3.926406329796582,25.75,1.75,2.75,0.25
10,166.53749999999997,27.90824530940633,101.75,0.75,18.0,3.415650255319866,27.75,4.25,32.75,4.802343178074636,13.75,2.0966242709015206,1.25,0.47871355387816905
11,333.7625,56.76785099200075,104.75,1.4930394055974097,21.75,4.534589286804263,42.0,7.438637868140466,10.5,6.487166818676188,21.0,3.719318934070233,1.75,0.47871355387816905
12,416.6625,65.18865051717209,104.25,1.796988221070652,21.75,1.8874586088176875,47.75,5.359959576962001,2.25,1.4361406616345072,23.75,2.780137886268713,1.75,0.25
13,540.3625,40.57180555817058,105.25,0.47871355387816905,24.5,2.5,58.75,2.6259918760981216,0.25,0.25,29.25,1.3149778198382918,2.0,0.408248290463863
14,437.75,48.115503392011455,105.0,0.816496580927726,24.75,2.286737122335374,52.0,4.915960401250875,0.5,0.28867513459481287,25.75,2.358495283014151,2.25,0.25
15,470.675,49.0473092194329,106.5,0.6454972243679028,21.75,2.0155644370746373,51.5,3.774917217635375,2.5,0.8660254037844386,25.75,1.8874586088176875,1.75,0.25
16,539.525,18.40385489510282,104.5,0.8660254037844386,29.75,0.8539125638299665,63.25,2.174664725116648,1.0,0.408248290463863,31.25,1.0307764064044151,2.5,0.28867513459481287
17,501.875,39.71383312734577,102.5,1.4433756729740645,34.75,1.4361406616345072,64.5,3.662876829305985,0.0,0.0,32.0,1.8257418583505538,3.0,0.0
18,538.425,32.75156802862015,99.0,1.224744871391589,36.5,1.6583123951777,68.75,1.0307764064044151,0.25,0.25,34.0,0.408248290463863,3.25,0.25
19,523.125,25.946431193261773,97.5,0.5,34.25,2.056493779875511,65.25,2.9825883613622137,0.0,0.0,32.5,1.5545631755148024,2.75,0.25
20,590.675,27.120721628796463,99.0,0.7071067811865476,33.75,1.4361406616345072,70.75,1.796988221070652,0.25,0.25,34.5,0.8660254037844386,3.0,0.0
21,586.1750000000001,45.890433371237634,91.5,1.6583123951777,34.75,2.056493779875511,71.0,4.041451884327381,0.0,0.0,35.0,1.7795130420052185,3.25,0.25
22,612.125,77.6878838150884,87.5,2.5,33.25,1.3768926368215255,71.5,4.9749371855331,0.0,0.0,35.25,2.4958298553119898,3.0,0.0
23,627.4,38.408641605763684,87.0,1.0801234497346435,36.25,2.6259918760981216,75.0,1.0801234497346435,0.0,0.0,37.0,0.7071067811865476,3.25,0.25
24,671.975,62.068045656897155,83.0,2.3804761428476167,30.25,3.8378596465564847,73.25,3.3008837200563934,0.75,0.47871355387816905,36.25,1.7017148213885114,2.75,0.47871355387816905
25,732.95,22.132526968242903,88.5,2.3979157616563596,33.75,0.47871355387816905,80.0,1.8257418583505538,0.25,0.25,40.0,0.9128709291752769,3.0,0.0
26,721.3875,48.66558663898612,87.25,1.25,36.5,1.848422751068236,81.25,2.5617376914898995,0.0,0.0,40.5,1.2583057392117916,3.0,0.0
27,661.325,38.03461964666754,88.5,1.707825127659933,38.75,2.9825883613622137,79.5,2.217355782608345,0.0,0.0,39.5,1.1902380714238083,3.75,0.25
28,782.9875000000001,46.17555889844034,85.25,0.6291528696058958,33.5,2.3979157616563596,83.75,1.3768926368215255,0.5,0.5,41.25,0.75,2.75,0.25
29,674.8125,43.11608543127107,81.25,1.1086778913041726,31.75,2.5289984842489197,74.75,2.1360009363293826,0.25,0.25,36.75,1.25,2.75,0.25
30,622.7875,46.24821787107046,74.25,0.8539125638299665,32.25,1.1086778913041726,71.5,2.7838821814150108,0.0,0.0,35.25,1.3149778198382918,3.0,0.0
