penalty_type,penalty_value,mean_total_ball_score,mean_total_wall_count,max_episodes,player_0_mean_ball_score,player_0_mean_wall_count,player_1_mean_ball_score,player_1_mean_wall_count,player_2_mean_ball_score,player_2_mean_wall_count,player_3_mean_ball_score,player_3_mean_wall_count
00p5,0.05,272.65,161.51,160,76.575,29.744999999999997,69.05,25.733749999999997,72.11875,31.435000000000002,54.90625,74.59625000000001
0p5,0.5,274.15,114.82374999999999,160,70.19375,21.60125,75.53125,23.4375,65.25,22.947499999999998,63.175,46.8375
5,5.0,121.98125,16.7275,160,34.11875,2.9925000000000006,28.4875,1.1637499999999998,30.71875,1.8537499999999998,28.65625,10.717500000000001
